origin,destination,distance
AD,US-AR,7704.058
AD,US-CA,9364.551
AD,US-CO,8326.281
AD,US-CT,5952.025
AD,US-DE,6278.852
AD,US-FL,7436.209
AD,US-GA,7253.418
AD,US-HI,12714.921
AD,US-ID,8493.634
AD,US-IL,7171.572
AD,US-IN,6967.565
AD,US-IA,7340.898
AD,US-KS,7895.994
AD,US-KY,6985.949
AD,US-LA,8018.556
AD,US-ME,5510.44
AD,US-MD,6353.998
AD,US-MA,5785.818
AD,US-MI,6685.679
AD,US-MN,7125.882
AD,US-MS,7722.63
AD,US-MO,7515.998
AD,US-MT,8031.528
AD,US-NE,7811.312
AD,US-NV,9022.518
AD,US-NH,5760.753
AD,US-NJ,6131.715
AD,US-NM,8722.161
AD,US-NY,6066.728
AD,US-NC,6732.948
AD,US-ND,7420.206
AD,US-OH,6729.806
AD,US-OK,8088.373
AD,US-OR,8821.654
AD,US-PA,6325.103
AD,US-RI,5834.535
AD,US-SC,6962.467
AD,US-SD,7615.832
AD,US-TN,7303.128
AD,US-TX,8506.915
AD,US-UT,8668.893
AD,US-VT,5766.832
AD,US-VA,6604.163
AD,US-WA,8492.683
AD,US-WV,6696.901
AD,US-WI,6931.564
AD,US-WY,8149.192
AD,UY,10189.528
AD,UZ,5084.539
AD,VA,895.798
AD,VC,6824.505
AD,VE,7745.526
AD,VG,6706.389
AD,VI,6733.338
AD,VN,10267.706
AD,VU,16686.421
AD,WF,16812.95
AD,WS,16757.49
AD,XK,1577.047
AD,YE,5363.073
AD,YT,7590.228
AD,ZA,8416.617
AD,ZM,6746.226
AD,ZW,7405.132
AE,AD,5219.962
AE,AE,0
AE,AF,1784.342
AE,AG,11703.119
AE,AI,11751.03
AE,AL,3694.273
AE,AM,2026.976
AE,AO,5489.396
AE,AQ,12469.72
AE,AR,13938.46
AE,AS,15161.215
AE,AT,4380.921
AE,AU,10164.333
AE,AW,12715.314
AE,AX,4895.167
AE,AZ,1949.868
AE,BA,3999.543
AE,BB,11709.229
AE,BD,3711.028
AE,BE,5184.793
AE,BF,5960.572
AE,BG,3376.185
AE,BH,427.593
AE,BI,3950.029
AE,BJ,5685.105
AE,BL,11754.463
AE,BM,11022.914
AE,BN,6842.732
AE,BO,13471.615
AE,BQ,12596.19
AE,BR,12214.507
AE,BS,12490.145
AE,BT,3687.702
AE,BV,9905.514
AE,BW,5985.774
AE,BY,4003.263
AE,BZ,13922.325
AE,CA,10973.597
AE,CA-AB,11230.05
AE,CA-BC,11293.899
AE,CA-MB,10863.729
AE,CA-NB,10218.723
AE,CA-NL,9425.007
AE,CA-NS,10081.628
AE,CA-NT,10157.804
AE,CA-NU,9766.343
AE,CA-ON,10802.798
AE,CA-PE,10007.478
AE,CA-QC,10075.375
AE,CA-SK,11032.643
AE,CA-YT,10232.372
AE,CC,6127.964
AE,CD,4874.735
AE,CF,3981.501
AE,CG,4923.715
AE,CH,4802.872
AE,CI,6558.667
AE,CK,16555.633
AE,CL,14629.876
AE,CM,4769.538
AE,CN,5000.879
AE,CO,13590.989
AE,CR,14111.36
AE,CU,12777.599
AE,CV,8099.271
AE,CW,12644.065
AE,CX,6778.429
AE,CY,2361.908
AE,CZ,4429.773
AE,DE,4814.909
AE,DJ,1754.986
AE,DK,5111.755
AE,DM,11757.469
