origin,destination,distance
AE,AM,2026.975685
AE,AN,12650.35588
AE,AO,5489.396437
AE,AR,13938.46033
AE,AT,4380.921057
AE,AU,10164.33292
AE,AW,12715.31389
AE,AZ,1949.868068
AE,BA,3999.543448
AE,BB,11709.22946
AE,BD,3711.028304
AE,BE,5184.793028
AE,BF,5960.572396
AE,BG,3376.184771
AE,BH,427.5925263
AE,BI,3950.028557
AE,BJ,5685.10521
AE,BM,11022.91369
AE,BN,6842.732188
AE,BO,13471.61509
AE,BR,12214.50745
AE,BS,12490.14472
AE,BT,3687.702186
AE,BW,5985.773522
AE,BY,4003.263052
AE,BZ,13922.32457
AE,CA,10973.59744
AE,CC,6127.964333
AE,CF,4874.734995
AE,CG,4874.734995
AE,CH,4802.871562
AE,CI,6558.667005
AE,CK,16555.63252
AE,CL,14629.87603
AE,CM,4769.538428
AE,CN,5000.8792
AE,CO,13590.98881
AE,CR,14111.35993
AE,CU,12777.59939
AE,CV,8099.271112
AE,CX,6778.428972
AE,CY,2361.908013
AE,CZ,4429.772755
AE,DE,4814.909028
AE,DJ,1754.985999
AE,DK,5111.754832
AE,DM,11757.46935
AE,DO,12342.59451
AE,DZ,5214.114936
AE,EC,14323.07891
AE,EE,4525.434929
AE,EG,2347.277225
AE,EH,6718.557703
AE,ER,1735.792664
AE,ES,5648.237617
AE,ET,2130.683645
AE,FI,4778.099415
AE,FJ,14308.42807
AE,FK,13622.9417
AE,FM,10357.03203
AE,FO,6206.721692
AE,FR,5234.379465
AE,GA,5298.096628
AE,GB,5836.552856
AE,GD,11954.79129
AE,GE,2313.454748
AE,GF,11551.44781
AE,GH,6082.141452
AE,GI,5795.885825
AE,GL,7762.893808
AE,GM,7316.472103
AE,GN,6880.85464
AE,GP,11731.54556
AE,GQ,5279.175771
AE,GR,3479.541985
AE,GT,14162.70693
AE,GW,7366.384853
AE,GY,12084.74818
AE,HK,6125.703118
AE,HN,13910.32046
AE,HR,4231.294917
AE,HT,12507.76366
AE,HU,4028.877806
AE,ID,7017.687434
AE,IE,6103.150449
AE,IL,2056.550352
AE,IN,2604.883317
AE,IQ,1474.045519
AE,IR,1001.303018
AE,IS,6857.271436
AE,IT,4319.709175
AE,JM,12983.24205
AE,JO,1914.575785
AE,JP,8019.552695
AE,KE,3124.459766
AE,KG,2773.453278
AE,KH,5513.166241
AE,KI,14928.29719
AE,KM,4072.363647
AE,KN,11775.61079
AE,KP,7004.69578
AE,KR,7111.935073
AE,KW,911.1191535
AE,KY,13142.87025
AE,KZ,2969.136396
AE,LA,5020.719547
AE,LB,2098.567409
AE,LC,11805.06381
AE,LK,3350.533915
AE,LR,7001.449896
AE,LS,6501.599552
AE,LT,4304.224498
AE,LU,5049.271473
AE,LV,4404.35077
AE,LY,3696.040324
AE,MA,6000.81973
AE,MD,3495.240459
AE,MG,4752.168812
AE,MH,12413.71267
AE,MK,3592.885795
AE,ML,6021.810252
AE,MM,4308.480774
AE,MN,5126.260657
AE,MO,6074.37113
