subdivision,period,Bioenergy,Hydro,Solar,Wind
US-OH,2019-02,0.1908,0.1091,0.0287,0.6714
US-OK,2019-02,0.0089,0.2218,0.0013,0.768
US-OR,2019-02,0.0253,0.8611,0.0107,0.1029
US-PA,2019-02,0.2422,0.3166,0.0079,0.4333
US-RI,2019-02,0.4279,0.0099,0.0818,0.4804
US-SC,2019-02,0.401,0.5128,0.0863,0
US-SD,2019-02,0,0.7207,0.0001,0.2793
US-TN,2019-02,0.0917,0.8897,0.015,0.0036
US-TX,2019-02,0.0153,0.0305,0.0332,0.921
US-UT,2019-02,0.0213,0.2311,0.4117,0.3359
US-VA,2019-02,0.6122,0.2653,0.1225,0
US-VT,2019-02,0.1869,0.6128,0.0399,0.1604
US-WA,2019-02,0.0201,0.9128,0.0004,0.0667
US-WI,2019-02,0.2268,0.4115,0.0046,0.3571
US-WV,2019-02,0,0.5631,0,0.4369
US-WY,2019-02,0,0.1699,0.0211,0.8089
CA-AB,2019-03,0.618,0.1148,0.0022,0.265
CA-BC,2019-03,0.0133,0.9609,0,0.0258
CA-MB,2019-03,0.0003,0.9693,0,0.0304
CA-NB,2019-03,0.1357,0.5722,0,0.2921
CA-NL,2019-03,0.0033,0.9927,0,0.004
CA-NS,2019-03,0.2525,0.3193,0,0.4283
CA-NT,2019-03,0.1438,0.7821,0.0009,0.0732
CA-NU,2019-03,1,0,0,0
CA-ON,2019-03,0.0276,0.6591,0.0414,0.2719
CA-PE,2019-03,0.0007,0,0.0009,0.9984
CA-QC,2019-03,0.0008,0.9362,0,0.063
CA-SK,2019-03,0.3183,0.5045,0,0.1772
CA-YT,2019-03,0.0319,0.9681,0,0
US-AK,2019-03,0.021,0.9019,0,0.077
US-AL,2019-03,0.2043,0.7719,0.0238,0
US-AR,2019-03,0.3233,0.6323,0.0445,0
US-AZ,2019-03,0.0163,0.4955,0.4412,0.047
US-CA,2019-03,0.0585,0.5265,0.2801,0.1349
US-CO,2019-03,0.012,0.1098,0.0841,0.7942
US-CT,2019-03,0.5382,0.3501,0.1003,0.0113
US-DC,2019-03,0.8715,0,0.1285,0
US-DE,2019-03,0.482,0,0.4642,0.0537
US-FL,2019-03,0.4945,0.0295,0.476,0
US-GA,2019-03,0.3749,0.4473,0.1777,0
US-HI,2019-03,0.2912,0.0729,0.1784,0.4574
US-IA,2019-03,0.006,0.0315,0.0004,0.9622
US-ID,2019-03,0.0363,0.7413,0.0394,0.183
US-IL,2019-03,0.0244,0.0065,0.0036,0.9655
US-IN,2019-03,0.0559,0.031,0.0386,0.8745
US-KS,2019-03,0.0026,0.001,0.0005,0.996
US-KY,2019-03,0.0945,0.8941,0.0114,0
US-LA,2019-03,0.704,0.2956,0.0004,0
US-MA,2019-03,0.3178,0.2267,0.3708,0.0848
US-MD,2019-03,0.073,0.6981,0.1122,0.1166
US-ME,2019-03,0.2325,0.4459,0.0007,0.3209
US-MI,2019-03,0.2314,0.1016,0.014,0.653
US-MN,2019-03,0.0788,0.0804,0.068,0.7728
US-MO,2019-03,0.0171,0.4634,0.0142,0.5054
US-MS,2019-03,0.7877,0,0.2123,0
US-MT,2019-03,0.0017,0.8121,0.0023,0.1839
US-NC,2019-03,0.1535,0.3122,0.4913,0.043
US-ND,2019-03,0,0.2378,0,0.7622
US-NE,2019-03,0.0092,0.1755,0.003,0.8124
US-NH,2019-03,0.356,0.4975,0,0.1465
US-NJ,2019-03,0.3592,0,0.6272,0.0137
US-NM,2019-03,0.0029,0.0197,0.1615,0.8158
US-NV,2019-03,0.007,0.3487,0.6015,0.0428
US-NY,2019-03,0.0463,0.7961,0.0139,0.1437
US-OH,2019-03,0.1916,0.1138,0.0365,0.6581
US-OK,2019-03,0.0114,0.0802,0.0016,0.9068
US-OR,2019-03,0.0251,0.8732,0.0157,0.086
US-PA,2019-03,0.2256,0.3311,0.0098,0.4335
US-RI,2019-03,0.4098,0.0092,0.1001,0.4809
US-SC,2019-03,0.3542,0.5121,0.1337,0
US-SD,2019-03,0,0.7668,0.0001,0.233
US-TN,2019-03,0.0722,0.8964,0.028,0.0034
US-TX,2019-03,0.0186,0.012,0.0401,0.9294
US-UT,2019-03,0.0193,0.23,0.5407,0.21
US-VA,2019-03,0.6669,0.155,0.1781,0
US-VT,2019-03,0.1459,0.6215,0.0541,0.1784
US-WA,2019-03,0.0245,0.9113,0.0006,0.0636
US-WI,2019-03,0.2188,0.4312,0.0056,0.3444
US-WV,2019-03,0,0.5664,0,0.4336
US-WY,2019-03,0,0.1846,0.0347,0.7807
CA-AB,2019-04,0.498,0.1183,0.0028,0.3809
CA-BC,2019-04,0.0154,0.9482,0,0.0364
CA-MB,2019-04,0.0004,0.97,0,0.0296
CA-NB,2019-04,0.0495,0.7961,0,0.1545
CA-NL,2019-04,0.0025,0.9923,0,0.0052
CA-NS,2019-04,0.1627,0.431,0,0.4062
CA-NT,2019-04,0.1402,0.7867,0.001,0.0721
CA-NU,2019-04,1,0,0,0
CA-ON,2019-04,0.0124,0.705,0.0493,0.2333
CA-PE,2019-04,0.0007,0,0.0008,0.9985
CA-QC,2019-04,0.0008,0.934,0,0.0652
CA-SK,2019-04,0.2162,0.6623,0,0.1214
CA-YT,2019-04,0.0371,0.9629,0,0
US-AK,2019-04,0.018,0.8984,0,0.0836
US-AL,2019-04,0.1673,0.8022,0.0305,0
US-AR,2019-04,0.2013,0.7681,0.0306,0
US-AZ,2019-04,0.019,0.4455,0.4883,0.0472
US-CA,2019-04,0.0462,0.5109,0.2838,0.1592
US-CO,2019-04,0.0099,0.1206,0.0883,0.7813
US-CT,2019-04,0.4649,0.4163,0.1085,0.0102
US-DC,2019-04,0.8692,0,0.1308,0
US-DE,2019-04,0.458,0,0.4925,0.0496
US-FL,2019-04,0.4559,0.0289,0.5152,0
US-GA,2019-04,0.3787,0.4243,0.197,0
US-HI,2019-04,0.2251,0.0926,0.2,0.4823
US-IA,2019-04,0.006,0.0289,0.0005,0.9647
US-ID,2019-04,0.0325,0.7432,0.0421,0.1821
US-IL,2019-04,0.0208,0.0061,0.0035,0.9696
US-IN,2019-04,0.0484,0.025,0.0375,0.8891
US-KS,2019-04,0.0024,0.0016,0.0006,0.9955
US-KY,2019-04,0.0201,0.9685,0.0114,0
US-LA,2019-04,0.5317,0.4678,0.0005,0
US-MA,2019-04,0.287,0.2604,0.3798,0.0728
US-MD,2019-04,0.0811,0.6765,0.1162,0.1261
US-ME,2019-04,0.1936,0.4983,0.0008,0.3074
US-MI,2019-04,0.2035,0.0758,0.0143,0.7064
US-MN,2019-04,0.0612,0.0943,0.0984,0.7462
US-MO,2019-04,0.0129,0.5066,0.0157,0.4649
US-MS,2019-04,0.7895,0,0.2105,0
US-MT,2019-04,0.0014,0.8082,0.0025,0.1878
US-NC,2019-04,0.1274,0.4188,0.4185,0.0352
US-ND,2019-04,0,0.2579,0,0.7421
US-NE,2019-04,0.0084,0.171,0.0036,0.8169
US-NH,2019-04,0.2392,0.6079,0,0.1529
US-NJ,2019-04,0.4014,0,0.5857,0.0129
US-NM,2019-04,0.0027,0.02,0.1771,0.8002
US-NV,2019-04,0.0056,0.3806,0.5746,0.0391
US-NY,2019-04,0.04,0.7889,0.015,0.1561
US-OH,2019-04,0.178,0.1013,0.0392,0.6815
US-OK,2019-04,0.0056,0.1314,0.0019,0.861
US-OR,2019-04,0.0171,0.791,0.0162,0.1757
US-PA,2019-04,0.2244,0.3167,0.0099,0.449
US-RI,2019-04,0.3594,0.0106,0.1238,0.5062
US-SC,2019-04,0.324,0.5481,0.1279,0
US-SD,2019-04,0,0.7659,0.0002,0.2339
US-TN,2019-04,0.077,0.8877,0.0316,0.0036
US-TX,2019-04,0.0132,0.0189,0.0501,0.9178
US-UT,2019-04,0.0142,0.2267,0.5795,0.1796
US-VA,2019-04,0.5844,0.2223,0.1932,0
US-VT,2019-04,0.1289,0.656,0.0577,0.1574
US-WA,2019-04,0.0154,0.8671,0.0006,0.1169
US-WI,2019-04,0.2078,0.3899,0.0061,0.3961
US-WV,2019-04,0,0.533,0,0.467
US-WY,2019-04,0,0.1863,0.0336,0.78
CA-AB,2019-05,0.5201,0.2323,0.0033,0.2443
CA-BC,2019-05,0.0107,0.9743,0,0.015
CA-MB,2019-05,0.0003,0.9723,0,0.0274
CA-NB,2019-05,0.0381,0.8586,0,0.1033
CA-NL,2019-05,0.0035,0.9913,0,0.0052
CA-NS,2019-05,0.1784,0.4933,0,0.3283
CA-NT,2019-05,0.1527,0.7934,0.002,0.0519
CA-NU,2019-05,1,0,0,0
CA-ON,2019-05,0.0105,0.789,0.0566,0.1439
CA-PE,2019-05,0.0012,0,0.0013,0.9975
CA-QC,2019-05,0.0007,0.951,0,0.0483
CA-SK,2019-05,0.2914,0.5929,0,0.1157
CA-YT,2019-05,0.0377,0.9623,0,0
US-AK,2019-05,0.016,0.9207,0,0.0633
US-AL,2019-05,0.1755,0.7934,0.0311,0
US-AR,2019-05,0.1774,0.7928,0.0298,0
US-AZ,2019-05,0.0181,0.4693,0.4725,0.0401
US-CA,2019-05,0.0493,0.476,0.284,0.1907
US-CO,2019-05,0.0107,0.1378,0.1059,0.7455
US-CT,2019-05,0.4905,0.4087,0.0951,0.0057
US-DC,2019-05,0.8115,0,0.1885,0
US-DE,2019-05,0.462,0,0.4999,0.0381
US-FL,2019-05,0.4791,0.0247,0.4962,0
US-GA,2019-05,0.4276,0.3318,0.2406,0
US-HI,2019-05,0.2492,0.0797,0.2196,0.4515
US-IA,2019-05,0.007,0.0451,0.0008,0.9471
US-ID,2019-05,0.0379,0.7564,0.0443,0.1614
US-IL,2019-05,0.0312,0.0069,0.005,0.9569
US-IN,2019-05,0.0694,0.0358,0.0523,0.8426
US-KS,2019-05,0.0031,0.0006,0.0009,0.9954
US-KY,2019-05,0.0437,0.9456,0.0107,0
US-LA,2019-05,0.4513,0.5483,0.0005,0
US-MA,2019-05,0.2572,0.3186,0.3788,0.0455
US-MD,2019-05,0.1059,0.654,0.1277,0.1124
US-ME,2019-05,0.222,0.5714,0.0009,0.2057
US-MI,2019-05,0.2587,0.1046,0.0187,0.6181
US-MN,2019-05,0.0655,0.0976,0.1117,0.7251
US-MO,2019-05,0.0103,0.5833,0.0203,0.3861
US-MS,2019-05,0.7385,0,0.2615,0
US-MT,2019-05,0.001,0.8332,0.0026,0.1633
US-NC,2019-05,0.1317,0.3567,0.4864,0.0251
US-ND,2019-05,0,0.3057,0,0.6943
US-NE,2019-05,0.0095,0.2216,0.0048,0.7641
US-NH,2019-05,0.2864,0.6197,0,0.0939
US-NJ,2019-05,0.3646,0,0.6267,0.0087
US-NM,2019-05,0.0023,0.0205,0.1841,0.7931
US-NV,2019-05,0.0058,0.3577,0.6008,0.0358
US-NY,2019-05,0.0501,0.8369,0.0159,0.0971
US-OH,2019-05,0.2103,0.1247,0.0473,0.6176
US-OK,2019-05,0.01,0.1667,0.0019,0.8214
US-OR,2019-05,0.0115,0.8057,0.0162,0.1665
US-PA,2019-05,0.2458,0.3987,0.0119,0.3436
US-RI,2019-05,0.3713,0.0124,0.1426,0.4737
US-SC,2019-05,0.4,0.4212,0.1788,0
US-SD,2019-05,0,0.8235,0.0002,0.1763
US-TN,2019-05,0.0624,0.9021,0.0327,0.0028
US-TX,2019-05,0.0137,0.0221,0.0471,0.9171
US-UT,2019-05,0.0136,0.2276,0.5884,0.1704
US-VA,2019-05,0.6913,0.0935,0.2152,0
US-VT,2019-05,0.1328,0.701,0.0584,0.1079
US-WA,2019-05,0.0117,0.9093,0.0005,0.0786
US-WI,2019-05,0.2388,0.4458,0.0069,0.3085
US-WV,2019-05,0,0.5369,0,0.4631
US-WY,2019-05,0,0.209,0.0409,0.7502
CA-AB,2019-06,0.4073,0.3337,0.0028,0.2562
CA-BC,2019-06,0.0098,0.958,0,0.0322
CA-MB,2019-06,0.0001,0.9779,0,0.022
CA-NB,2019-06,0.0326,0.8124,0,0.1551
CA-NL,2019-06,0.0026,0.9925,0,0.0049
CA-NS,2019-06,0.1773,0.4691,0,0.3535
CA-NT,2019-06,0.1454,0.7804,0.0017,0.0725
CA-NU,2019-06,1,0,0,0
CA-ON,2019-06,0.0094,0.8146,0.0735,0.1025
CA-PE,2019-06,0.0009,0,0.0017,0.9974
CA-QC,2019-06,0.0009,0.9487,0,0.0503
CA-SK,2019-06,0.283,0.6003,0,0.1168
CA-YT,2019-06,0.0077,0.9923,0,0
US-AK,2019-06,0.0112,0.9262,0,0.0626
US-AL,2019-06,0.197,0.7718,0.0312,0
US-AR,2019-06,0.259,0.6953,0.0458,0
US-AZ,2019-06,0.0152,0.4779,0.4748,0.0321
US-CA,2019-06,0.0511,0.4621,0.3316,0.1552
US-CO,2019-06,0.0113,0.1505,0.1263,0.7119
US-CT,2019-06,0.5503,0.3175,0.1259,0.0063
US-DC,2019-06,0.8289,0,0.1711,0
US-DE,2019-06,0.4828,0,0.4798,0.0374
US-FL,2019-06,0.5081,0.0252,0.4666,0
US-GA,2019-06,0.4959,0.285,0.2191,0
US-HI,2019-06,0.2494,0.0832,0.2416,0.4259
US-IA,2019-06,0.0106,0.0472,0.0012,0.941
US-ID,2019-06,0.034,0.7659,0.0521,0.1479
US-IL,2019-06,0.0317,0.0081,0.0062,0.954
US-IN,2019-06,0.0737,0.0378,0.0671,0.8213
US-KS,2019-06,0.0037,0.0002,0.0011,0.9949
US-KY,2019-06,0.0884,0.9004,0.0113,0
US-LA,2019-06,0.6291,0.3703,0.0006,0
US-MA,2019-06,0.2781,0.2081,0.4681,0.0457
US-MD,2019-06,0.1062,0.6395,0.1424,0.1119
US-ME,2019-06,0.2685,0.4969,0.0012,0.2334
US-MI,2019-06,0.2852,0.0955,0.0235,0.5958
US-MN,2019-06,0.0988,0.1012,0.158,0.642
