subdivision,period,Bioenergy,Hydro,Solar,Wind
CA-QC,2020-11,0.0008,0.9278,0,0.0713
CA-SK,2020-11,0.2965,0.5327,0,0.1708
CA-YT,2020-11,0.0124,0.9876,0,0
US-AK,2020-11,0.0208,0.8962,0,0.083
US-AL,2020-11,0.2077,0.7744,0.0179,0
US-AR,2020-11,0.2152,0.691,0.0938,0
US-AZ,2020-11,0.0192,0.5169,0.373,0.0909
US-CA,2020-11,0.0976,0.2622,0.4767,0.1635
US-CO,2020-11,0.0089,0.0699,0.0615,0.8596
US-CT,2020-11,0.6483,0.2184,0.1198,0.0136
US-DC,2020-11,0.8412,0,0.1588,0
US-DE,2020-11,0.5975,0,0.3585,0.044
US-FL,2020-11,0.403,0.0171,0.5799,0
US-GA,2020-11,0.4512,0.2939,0.2549,0
US-HI,2020-11,0.1857,0.0745,0.2735,0.4664
US-IA,2020-11,0.0039,0.0159,0.0003,0.9799
US-ID,2020-11,0.039,0.6975,0.0193,0.2442
US-IL,2020-11,0.0143,0.0035,0.0026,0.9796
US-IN,2020-11,0.041,0.0252,0.0219,0.9119
US-KS,2020-11,0.0021,0.0007,0.0014,0.9958
US-KY,2020-11,0.0617,0.9322,0.0061,0
US-LA,2020-11,0.7132,0.2523,0.0345,0
US-MA,2020-11,0.4156,0.1093,0.3347,0.1404
US-MD,2020-11,0.1585,0.3533,0.1884,0.2998
US-ME,2020-11,0.2603,0.3542,0.0069,0.3787
US-MI,2020-11,0.1644,0.0597,0.0067,0.7692
US-MN,2020-11,0.0661,0.0459,0.0609,0.8271
US-MO,2020-11,0.0221,0.2185,0.0141,0.7453
US-MS,2020-11,0.8094,0,0.1906,0
US-MT,2020-11,0.002,0.6778,0.0012,0.3191
US-NC,2020-11,0.1374,0.4608,0.3753,0.0265
US-ND,2020-11,0,0.0983,0,0.9017
US-NE,2020-11,0.007,0.0862,0.0027,0.9041
US-NH,2020-11,0.3069,0.4158,0.0009,0.2764
US-NJ,2020-11,0.3952,0,0.5912,0.0137
US-NM,2020-11,0.0026,0.0187,0.1419,0.8368
US-NV,2020-11,0.0081,0.3008,0.6325,0.0586
US-NY,2020-11,0.0518,0.7494,0.0169,0.1819
US-OH,2020-11,0.1491,0.0816,0.026,0.7433
US-OK,2020-11,0.0099,0.0456,0.0009,0.9435
US-OR,2020-11,0.0274,0.7881,0.0139,0.1707
US-PA,2020-11,0.1871,0.2177,0.0151,0.5801
US-RI,2020-11,0.2115,0.0063,0.271,0.5111
US-SC,2020-11,0.3687,0.3723,0.259,0
US-SD,2020-11,0.001,0.3747,0.0001,0.6242
US-TN,2020-11,0.0536,0.9226,0.0203,0.0036
US-TX,2020-11,0.0112,0.0069,0.0677,0.9143
US-UT,2020-11,0.0186,0.2111,0.5291,0.2413
US-VA,2020-11,0.6031,0.1633,0.2336,0
US-VT,2020-11,0.2157,0.4813,0.042,0.2609
US-WA,2020-11,0.0165,0.8678,0.0003,0.1155
US-WI,2020-11,0.1528,0.4371,0.0226,0.3874
US-WV,2020-11,0.0018,0.3183,0,0.6799
US-WY,2020-11,0,0.1067,0.0112,0.8821
CA-AB,2020-12,0.3876,0.1009,0.0012,0.5103
CA-BC,2020-12,0.0061,0.9455,0,0.0483
CA-MB,2020-12,0.0003,0.9721,0,0.0276
CA-NB,2020-12,0.0704,0.7629,0,0.1667
CA-NL,2020-12,0.0034,0.9923,0,0.0044
CA-NS,2020-12,0.244,0.3707,0,0.3854
CA-NT,2020-12,0.1143,0.8454,0,0.0403
CA-NU,2020-12,1,0,0,0
CA-ON,2020-12,0.0219,0.6772,0.0142,0.2867
CA-PE,2020-12,0.0006,0,0.0002,0.9992
CA-QC,2020-12,0.0007,0.9474,0,0.0519
CA-SK,2020-12,0.2822,0.5462,0,0.1717
CA-YT,2020-12,0.0189,0.9811,0,0
US-AK,2020-12,0.0217,0.904,0,0.0743
US-AL,2020-12,0.2023,0.7834,0.0143,0
US-AR,2020-12,0.2186,0.7105,0.0708,0
US-AZ,2020-12,0.0202,0.5156,0.3349,0.1294
US-CA,2020-12,0.1275,0.2523,0.4366,0.1836
US-CO,2020-12,0.0084,0.0623,0.0406,0.8887
US-CT,2020-12,0.5852,0.3134,0.0873,0.0141
US-DC,2020-12,0.8383,0,0.1617,0
US-DE,2020-12,0.6557,0,0.2872,0.0571
US-FL,2020-12,0.3853,0.0199,0.5949,0
US-GA,2020-12,0.5095,0.2226,0.2679,0
US-HI,2020-12,0.2012,0.0696,0.3051,0.4241
US-IA,2020-12,0.0049,0.0205,0.0003,0.9744
US-ID,2020-12,0.0447,0.6977,0.0211,0.2366
US-IL,2020-12,0.0197,0.006,0.0046,0.9698
US-IN,2020-12,0.0454,0.0279,0.0171,0.9097
US-KS,2020-12,0.0023,0.0013,0.0014,0.9949
US-KY,2020-12,0.0751,0.9203,0.0046,0
US-LA,2020-12,0.7172,0.2568,0.026,0
US-MA,2020-12,0.3805,0.2304,0.2739,0.1152
US-MD,2020-12,0.1171,0.5404,0.0969,0.2455
US-ME,2020-12,0.2344,0.4203,0.0044,0.3409
US-MI,2020-12,0.1825,0.0885,0.0074,0.7216
US-MN,2020-12,0.0813,0.0472,0.0402,0.8313
US-MO,2020-12,0.0189,0.2069,0.0116,0.7626
US-MS,2020-12,0.8243,0,0.1757,0
US-MT,2020-12,0.0026,0.698,0.001,0.2985
US-NC,2020-12,0.1652,0.4176,0.3746,0.0425
US-ND,2020-12,0,0.1059,0,0.8941
US-NE,2020-12,0.0067,0.0882,0.002,0.9031
US-NH,2020-12,0.3021,0.4786,0.0005,0.2188
US-NJ,2020-12,0.5005,0,0.4799,0.0196
US-NM,2020-12,0.0029,0.0174,0.1318,0.8478
US-NV,2020-12,0.0109,0.2364,0.6857,0.067
US-NY,2020-12,0.0572,0.7856,0.012,0.1452
US-OH,2020-12,0.1604,0.0928,0.0132,0.7336
US-OK,2020-12,0.0105,0.0529,0.0011,0.9355
US-OR,2020-12,0.0253,0.8262,0.012,0.1365
US-PA,2020-12,0.1967,0.2237,0.0097,0.5699
US-RI,2020-12,0.3226,0.0081,0.1611,0.5083
US-SC,2020-12,0.3375,0.4426,0.2199,0
US-SD,2020-12,0.001,0.3486,0.0001,0.6503
US-TN,2020-12,0.037,0.9443,0.0156,0.0032
US-TX,2020-12,0.0118,0.0072,0.0628,0.9182
US-UT,2020-12,0.0264,0.2329,0.5418,0.1989
US-VA,2020-12,0.5893,0.2096,0.2011,0
US-VT,2020-12,0.2367,0.5504,0.0154,0.1974
US-WA,2020-12,0.0179,0.8921,0.0001,0.0899
US-WI,2020-12,0.1739,0.5043,0.0143,0.3075
US-WV,2020-12,0.0018,0.3614,0,0.6369
US-WY,2020-12,0,0.068,0.0062,0.9258
CA-AB,2021-01,0.3769,0.1015,0.0006,0.521
CA-BC,2021-01,0.007,0.9499,0,0.0431
CA-MB,2021-01,0.0004,0.9776,0,0.022
CA-NB,2021-01,0.1358,0.7251,0,0.139
CA-NL,2021-01,0.0032,0.993,0,0.0038
CA-NS,2021-01,0.3067,0.3805,0,0.3128
CA-NT,2021-01,0.1109,0.8523,0,0.0369
CA-NU,2021-01,1,0,0,0
CA-ON,2021-01,0.0235,0.7498,0.0185,0.2083
CA-PE,2021-01,0.001,0,0.0002,0.9987
CA-QC,2021-01,0.0007,0.9681,0,0.0312
CA-SK,2021-01,0.2779,0.5615,0,0.1606
CA-YT,2021-01,0.0152,0.9848,0,0
US-AK,2021-01,0.0191,0.9194,0,0.0615
US-AL,2021-01,0.2092,0.7779,0.0129,0
US-AR,2021-01,0.1757,0.7747,0.0496,0
US-AZ,2021-01,0.0178,0.5116,0.348,0.1225
US-CA,2021-01,0.1369,0.1959,0.4621,0.2051
US-CO,2021-01,0.0093,0.0804,0.0507,0.8595
US-CT,2021-01,0.4813,0.4055,0.1013,0.0119
US-DC,2021-01,0.8553,0,0.1447,0
US-DE,2021-01,0.6525,0,0.2964,0.051
US-FL,2021-01,0.3773,0.0242,0.5985,0
US-GA,2021-01,0.4584,0.3142,0.2274,0
US-HI,2021-01,0.2093,0.0793,0.2752,0.4362
US-IA,2021-01,0.0048,0.0291,0.0024,0.9636
US-ID,2021-01,0.0427,0.6796,0.0213,0.2564
US-IL,2021-01,0.0214,0.0075,0.0044,0.9667
US-IN,2021-01,0.0527,0.0494,0.0165,0.8814
US-KS,2021-01,0.0022,0.001,0.0013,0.9954
US-KY,2021-01,0.0758,0.9197,0.0046,0
US-LA,2021-01,0.639,0.3303,0.0307,0
US-MA,2021-01,0.343,0.3115,0.2887,0.0569
US-MD,2021-01,0.1035,0.5953,0.1109,0.1903
US-ME,2021-01,0.2702,0.3531,0.0076,0.3691
US-MI,2021-01,0.2518,0.0899,0.0153,0.643
US-MN,2021-01,0.0852,0.059,0.0595,0.7963
US-MO,2021-01,0.0156,0.2409,0.006,0.7375
US-MS,2021-01,0.8192,0,0.1808,0
US-MT,2021-01,0.0026,0.7081,0.0011,0.2883
US-NC,2021-01,0.1561,0.4124,0.3945,0.037
US-ND,2021-01,0.0001,0.1458,0,0.8541
US-NE,2021-01,0.0094,0.135,0.0025,0.8531
US-NH,2021-01,0.3581,0.4476,0.0008,0.1936
US-NJ,2021-01,0.483,0,0.5042,0.0128
US-NM,2021-01,0.0028,0.0116,0.1155,0.8701
US-NV,2021-01,0.0097,0.2613,0.6606,0.0685
US-NY,2021-01,0.0557,0.8377,0.0207,0.086
US-OH,2021-01,0.1943,0.1771,0.0451,0.5835
US-OK,2021-01,0.0097,0.0844,0.0013,0.9045
US-OR,2021-01,0.0253,0.8701,0.0113,0.0933
US-PA,2021-01,0.2105,0.2878,0.016,0.4857
US-RI,2021-01,0.2668,0.0113,0.2631,0.4587
US-SC,2021-01,0.3901,0.3672,0.2427,0
US-SD,2021-01,0.0015,0.4248,0.0001,0.5736
US-TN,2021-01,0.0461,0.9373,0.0145,0.0021
US-TX,2021-01,0.0108,0.0111,0.0762,0.9019
US-UT,2021-01,0.0257,0.1585,0.5881,0.2277
US-VA,2021-01,0.624,0.0834,0.2836,0.009
US-VT,2021-01,0.2354,0.625,0.0152,0.1244
US-WA,2021-01,0.0142,0.9195,0.0002,0.0661
US-WI,2021-01,0.2357,0.4885,0.0189,0.2569
US-WV,2021-01,0.0026,0.4312,0,0.5662
US-WY,2021-01,0,0.0661,0.0084,0.9256
CA-AB,2021-02,0.4402,0.1238,0.0009,0.4351
CA-BC,2021-02,0.0068,0.9485,0,0.0447
CA-MB,2021-02,0.0003,0.9723,0,0.0274
CA-NB,2021-02,0.2457,0.4704,0,0.2839
CA-NL,2021-02,0.0038,0.9917,0,0.0045
CA-NS,2021-02,0.2995,0.3396,0,0.3608
CA-NT,2021-02,0.1281,0.8437,0.0001,0.0281
CA-NU,2021-02,1,0,0,0
CA-ON,2021-02,0.0302,0.6839,0.0301,0.2559
CA-PE,2021-02,0.0006,0,0.0007,0.9987
CA-QC,2021-02,0.0007,0.9608,0,0.0385
CA-SK,2021-02,0.2825,0.5699,0,0.1476
CA-YT,2021-02,0.0229,0.9771,0,0
US-AK,2021-02,0.0224,0.9212,0,0.0563
US-AL,2021-02,0.197,0.788,0.0151,0
US-AR,2021-02,0.1566,0.7714,0.072,0
US-AZ,2021-02,0.0163,0.427,0.4306,0.1261
US-CA,2021-02,0.0992,0.1645,0.4932,0.2432
US-CO,2021-02,0.0124,0.1034,0.0787,0.8055
US-CT,2021-02,0.5812,0.3007,0.1052,0.0129
US-DC,2021-02,0.8188,0,0.1812,0
US-DE,2021-02,0.6572,0,0.2843,0.0585
US-FL,2021-02,0.3812,0.016,0.6027,0
US-GA,2021-02,0.434,0.316,0.25,0
US-HI,2021-02,0.1767,0.0904,0.3125,0.4204
US-IA,2021-02,0.005,0.0283,0.0048,0.9619
US-ID,2021-02,0.0364,0.6098,0.0287,0.3251
US-IL,2021-02,0.017,0.0053,0.0066,0.9711
US-IN,2021-02,0.0417,0.0363,0.0263,0.8957
US-KS,2021-02,0.0028,0.0013,0.0023,0.9936
US-KY,2021-02,0.0659,0.9291,0.005,0
US-LA,2021-02,0.7169,0.2463,0.0367,0
US-MA,2021-02,0.3758,0.2582,0.2813,0.0846
US-MD,2021-02,0.1365,0.4819,0.1458,0.2359
US-ME,2021-02,0.3079,0.3059,0.0092,0.377
US-MI,2021-02,0.2165,0.0541,0.0235,0.7058
US-MN,2021-02,0.0944,0.0584,0.1052,0.742
US-MO,2021-02,0.0166,0.2443,0.0081,0.7309
US-MS,2021-02,0.7986,0,0.2014,0
US-MT,2021-02,0.0025,0.7422,0.0013,0.2541
US-NC,2021-02,0.1553,0.3577,0.4357,0.0513
US-ND,2021-02,0.0001,0.1447,0,0.8552
US-NE,2021-02,0.0104,0.1541,0.0051,0.8304
US-NH,2021-02,0.4495,0.3382,0.0007,0.2116
US-NJ,2021-02,0.5406,0,0.4372,0.0222
US-NM,2021-02,0.0024,0.0106,0.1353,0.8517
US-NV,2021-02,0.0069,0.2625,0.6855,0.0451
US-NY,2021-02,0.0581,0.7993,0.0183,0.1243
US-OH,2021-02,0.1527,0.1321,0.0695,0.6457
US-OK,2021-02,0.0067,0.0644,0.0019,0.9269
US-OR,2021-02,0.0216,0.6908,0.0178,0.2698
US-PA,2021-02,0.2079,0.2635,0.0129,0.5158
US-RI,2021-02,0.304,0.0056,0.2036,0.4868
US-SC,2021-02,0.4392,0.2414,0.3195,0
US-SD,2021-02,0.0018,0.426,0.0001,0.572
US-TN,2021-02,0.061,0.9197,0.0171,0.0021
US-TX,2021-02,0.0079,0.0076,0.0912,0.8932
US-UT,2021-02,0.0196,0.1247,0.6161,0.2396
US-VA,2021-02,0.663,0.0544,0.269,0.0136
US-VT,2021-02,0.3531,0.4874,0.0272,0.1324
US-WA,2021-02,0.0158,0.8469,0.0003,0.137
US-WI,2021-02,0.2195,0.394,0.0509,0.3356
US-WV,2021-02,0.0037,0.4362,0,0.5602
US-WY,2021-02,0,0.0695,0.0123,0.9182
CA-AB,2021-03,0.3402,0.1057,0.0049,0.5492
CA-BC,2021-03,0.0072,0.9582,0.0001,0.0345
CA-MB,2021-03,0.0003,0.9677,0.0001,0.0319
CA-NB,2021-03,0.0932,0.5966,0,0.3102
CA-NL,2021-03,0.0036,0.9923,0,0.0041
CA-NS,2021-03,0.2226,0.2957,0,0.4817
CA-NT,2021-03,0.1093,0.8103,0.0003,0.0801
CA-NU,2021-03,1,0,0,0
CA-ON,2021-03,0.0163,0.6317,0.0505,0.3015
CA-PE,2021-03,0.0007,0,0.0009,0.9985
CA-QC,2021-03,0.0008,0.9271,0,0.0721
CA-SK,2021-03,0.2694,0.5817,0,0.1489
CA-YT,2021-03,0.0054,0.9946,0,0
US-AK,2021-03,0.0224,0.9057,0,0.072
US-AL,2021-03,0.2097,0.7674,0.0229,0
US-AR,2021-03,0.1294,0.7847,0.086,0
US-AZ,2021-03,0.0132,0.4489,0.4148,0.123
US-CA,2021-03,0.082,0.1773,0.5062,0.2345
US-CO,2021-03,0.0088,0.0949,0.0691,0.8272
US-CT,2021-03,0.4967,0.2876,0.2039,0.0119
US-DC,2021-03,0.7841,0,0.2159,0
US-DE,2021-03,0.5414,0,0.4123,0.0463
US-FL,2021-03,0.3165,0.0278,0.6556,0
US-GA,2021-03,0.4071,0.2846,0.3083,0
US-HI,2021-03,0.1947,0.11,0.2755,0.4198
US-IA,2021-03,0.0041,0.0189,0.0049,0.9721
US-ID,2021-03,0.0381,0.6933,0.0486,0.22
US-IL,2021-03,0.0139,0.0047,0.0099,0.9714
US-IN,2021-03,0.0366,0.0323,0.0461,0.885
US-KS,2021-03,0.0017,0.0009,0.0014,0.996
US-KY,2021-03,0.1043,0.8837,0.012,0
US-LA,2021-03,0.6513,0.3091,0.0395,0
US-MA,2021-03,0.2404,0.1912,0.5028,0.0656
US-MD,2021-03,0.074,0.6748,0.1267,0.1245
US-ME,2021-03,0.2453,0.3223,0.0142,0.4182
US-MI,2021-03,0.1564,0.0521,0.0336,0.7579
US-MN,2021-03,0.0694,0.0374,0.1212,0.7721
US-MO,2021-03,0.0119,0.1657,0.0103,0.8121
US-MS,2021-03,0.7794,0,0.2206,0
US-MT,2021-03,0.0023,0.7394,0.0025,0.2557
US-NC,2021-03,0.0976,0.4189,0.4494,0.0341
US-ND,2021-03,0.0001,0.107,0,0.8929
US-NE,2021-03,0.0065,0.0915,0.005,0.8969
US-NH,2021-03,0.3412,0.3946,0.0015,0.2627
US-NJ,2021-03,0.3216,0,0.6668,0.0116
US-NM,2021-03,0.0022,0.0106,0.1306,0.8566
US-NV,2021-03,0.0062,0.2602,0.6855,0.0481
US-NY,2021-03,0.0492,0.7398,0.0341,0.1768
US-OH,2021-03,0.1273,0.1136,0.1137,0.6453
US-OK,2021-03,0.0069,0.0598,0.0017,0.9317
US-OR,2021-03,0.0289,0.6971,0.0398,0.2342
US-PA,2021-03,0.1895,0.2779,0.0292,0.5033
US-RI,2021-03,0.275,0.0058,0.4307,0.2885
US-SC,2021-03,0.2367,0.4754,0.2879,0
US-SD,2021-03,0.0016,0.3272,0.0001,0.6711
US-TN,2021-03,0.0629,0.906,0.0279,0.0032
US-TX,2021-03,0.0083,0.0073,0.0829,0.9015
US-UT,2021-03,0.0164,0.1172,0.6797,0.1867
US-VA,2021-03,0.4298,0.1597,0.4018,0.0087
US-VT,2021-03,0.2452,0.4797,0.0827,0.1924
US-WA,2021-03,0.0219,0.8455,0.0007,0.1319
US-WI,2021-03,0.1666,0.369,0.0516,0.4128
US-WV,2021-03,0.0021,0.5161,0,0.4818
US-WY,2021-03,0,0.1101,0.0217,0.8683
CA-AB,2021-04,0.3529,0.1249,0.0104,0.5119
CA-BC,2021-04,0.0105,0.9621,0.0001,0.0273
CA-MB,2021-04,0.0004,0.9636,0.0001,0.0359
CA-NB,2021-04,0.0456,0.8301,0,0.1243
CA-NL,2021-04,0.0034,0.9911,0,0.0055
CA-NS,2021-04,0.1406,0.4382,0,0.4212
CA-NT,2021-04,0.1195,0.7958,0.0017,0.083
CA-NU,2021-04,1,0,0,0
CA-ON,2021-04,0.0085,0.6811,0.0648,0.2456
CA-PE,2021-04,0.0008,0,0.0009,0.9983
CA-QC,2021-04,0.0009,0.9505,0,0.0486
CA-SK,2021-04,0.2951,0.5667,0,0.1382
CA-YT,2021-04,0.0059,0.9941,0,0
US-AK,2021-04,0.0203,0.9143,0,0.0654
US-AL,2021-04,0.2439,0.7176,0.0385,0
US-AR,2021-04,0.168,0.7265,0.1056,0
US-AZ,2021-04,0.0103,0.4131,0.4615,0.1152
US-CA,2021-04,0.0591,0.1732,0.509,0.2588
US-CO,2021-04,0.0089,0.0954,0.0872,0.8085
US-CT,2021-04,0.454,0.3873,0.1473,0.0115
US-DC,2021-04,0.7935,0,0.2065,0
US-DE,2021-04,0.5017,0,0.4591,0.0392
US-FL,2021-04,0.296,0.0182,0.6857,0
US-GA,2021-04,0.325,0.3107,0.3642,0
US-HI,2021-04,0.2056,0.0752,0.3639,0.3553
US-IA,2021-04,0.0042,0.0174,0.0056,0.9728
US-ID,2021-04,0.0232,0.6935,0.0549,0.2284
US-IL,2021-04,0.0158,0.0062,0.0152,0.9628
US-IN,2021-04,0.0431,0.0411,0.0671,0.8486
US-KS,2021-04,0.0019,0.0014,0.0023,0.9944
US-KY,2021-04,0.0947,0.8926,0.0127,0
US-LA,2021-04,0.6473,0.3018,0.051,0
US-MA,2021-04,0.205,0.2953,0.4439,0.0558
US-MD,2021-04,0.0793,0.5714,0.1825,0.1667
US-ME,2021-04,0.1796,0.4467,0.015,0.3587
US-MI,2021-04,0.1921,0.0918,0.0413,0.6748
US-MN,2021-04,0.0537,0.0338,0.1071,0.8053
US-MO,2021-04,0.01,0.1869,0.0131,0.79
US-MS,2021-04,0.7231,0,0.2769,0
US-MT,2021-04,0.0022,0.7592,0.0028,0.2358
US-NC,2021-04,0.087,0.2954,0.5895,0.0282
US-ND,2021-04,0.0001,0.1106,0,0.8893
US-NE,2021-04,0.0069,0.0764,0.005,0.9117
US-NH,2021-04,0.27,0.532,0.0014,0.1965
US-NJ,2021-04,0.3121,0,0.6787,0.0092
US-NM,2021-04,0.0021,0.0115,0.1499,0.8365
US-NV,2021-04,0.0047,0.2888,0.6715,0.035
US-NY,2021-04,0.0494,0.7961,0.0401,0.1144
US-OH,2021-04,0.148,0.1364,0.1327,0.5829
US-OK,2021-04,0.0083,0.0577,0.0018,0.9322
US-OR,2021-04,0.0279,0.5966,0.0595,0.3161
US-PA,2021-04,0.2006,0.3057,0.0327,0.461
US-RI,2021-04,0.2558,0.0067,0.4279,0.3096
US-SC,2021-04,0.2987,0.312,0.3893,0
US-SD,2021-04,0.0011,0.2794,0.0001,0.7194
US-TN,2021-04,0.0575,0.8953,0.0439,0.0033
US-TX,2021-04,0.007,0.0079,0.0886,0.8966
US-UT,2021-04,0.0139,0.1033,0.7688,0.114
US-VA,2021-04,0.4007,0.145,0.4465,0.0078
US-VT,2021-04,0.1672,0.6213,0.0831,0.1285
US-WA,2021-04,0.0235,0.814,0.001,0.1615
US-WI,2021-04,0.1711,0.4387,0.064,0.3262
US-WV,2021-04,0.0027,0.4781,0,0.5192
US-WY,2021-04,0,0.1078,0.0258,0.8663
CA-AB,2021-05,0.4017,0.1746,0.0315,0.3923
CA-BC,2021-05,0.0078,0.9689,0.0001,0.0232
CA-MB,2021-05,0.0002,0.9704,0.0001,0.0292
CA-NB,2021-05,0.0233,0.8213,0,0.1554
CA-NL,2021-05,0.0023,0.9918,0,0.0059
CA-NS,2021-05,0.1791,0.3965,0,0.4244
CA-NT,2021-05,0.1241,0.8194,0.0012,0.0554
CA-NU,2021-05,1,0,0,0
CA-ON,2021-05,0.0126,0.7184,0.0708,0.1982
CA-PE,2021-05,0.0008,0,0.0014,0.9979
CA-QC,2021-05,0.0009,0.9436,0,0.0554
CA-SK,2021-05,0.3278,0.5316,0,0.1406
CA-YT,2021-05,0.0051,0.9949,0,0
US-AK,2021-05,0.0181,0.9192,0,0.0627
US-AL,2021-05,0.2344,0.7292,0.0363,0
US-AR,2021-05,0.0833,0.8553,0.0614,0
US-AZ,2021-05,0.0113,0.3827,0.5063,0.0997
US-CA,2021-05,0.0604,0.1715,0.506,0.2621
US-CO,2021-05,0.0093,0.0983,0.0983,0.7941
US-CT,2021-05,0.45,0.3242,0.218,0.0077
US-DC,2021-05,0.7102,0,0.2898,0
US-DE,2021-05,0.4887,0,0.486,0.0253
US-FL,2021-05,0.2701,0.0158,0.7141,0
US-GA,2021-05,0.3655,0.2089,0.4256,0
US-HI,2021-05,0.1422,0.0686,0.393,0.3962
US-IA,2021-05,0.0047,0.026,0.0063,0.963
US-ID,2021-05,0.0295,0.6872,0.0601,0.2232
US-IL,2021-05,0.019,0.0066,0.0188,0.9556
US-IN,2021-05,0.0545,0.0467,0.0935,0.8052
US-KS,2021-05,0.0022,0.0014,0.0026,0.9938
US-KY,2021-05,0.0767,0.9119,0.0114,0
US-LA,2021-05,0.4416,0.5147,0.0437,0
US-MA,2021-05,0.2243,0.203,0.517,0.0557
US-MD,2021-05,0.1022,0.6212,0.1856,0.0911
US-ME,2021-05,0.2031,0.4221,0.0226,0.3522
US-MI,2021-05,0.219,0.1302,0.0574,0.5933
US-MN,2021-05,0.0749,0.0442,0.1491,0.7318
US-MO,2021-05,0.0099,0.2216,0.0124,0.7561
US-MS,2021-05,0.72,0,0.28,0
US-MT,2021-05,0.0021,0.7954,0.0034,0.199
US-NC,2021-05,0.096,0.2781,0.6034,0.0225
US-ND,2021-05,0.0001,0.1198,0,0.8801
US-NE,2021-05,0.0089,0.1087,0.0066,0.8758
US-NH,2021-05,0.3315,0.4627,0.0021,0.2037
US-NJ,2021-05,0.259,0,0.7338,0.0072
US-NM,2021-05,0.0017,0.0109,0.1565,0.8309
US-NV,2021-05,0.0044,0.2482,0.7166,0.0308
US-NY,2021-05,0.0585,0.802,0.0441,0.0953
US-OH,2021-05,0.1576,0.1365,0.1658,0.5402
US-OK,2021-05,0.0089,0.1348,0.0022,0.8542
US-OR,2021-05,0.0198,0.6312,0.0544,0.2947
US-PA,2021-05,0.2582,0.343,0.0413,0.3575
US-RI,2021-05,0.2669,0.0054,0.4589,0.2688
US-SC,2021-05,0.2754,0.272,0.4526,0
US-SD,2021-05,0.0015,0.3568,0.0002,0.6415
US-TN,2021-05,0.0536,0.9056,0.0383,0.0025
US-TX,2021-05,0.0085,0.0149,0.1194,0.8572
US-UT,2021-05,0.0129,0.0926,0.7583,0.1363
US-VA,2021-05,0.487,0.0354,0.4723,0.0053
US-VT,2021-05,0.1865,0.5444,0.1223,0.1468
US-WA,2021-05,0.013,0.8824,0.0008,0.1038
US-WI,2021-05,0.1867,0.4191,0.0841,0.31
US-WV,2021-05,0.0034,0.5876,0,0.409
US-WY,2021-05,0,0.1288,0.0333,0.8379
CA-AB,2021-06,0.4191,0.2039,0.0344,0.3427
CA-BC,2021-06,0.007,0.9698,0.0001,0.0231
CA-MB,2021-06,0.0002,0.9758,0.0001,0.0238
CA-NB,2021-06,0.0839,0.6884,0,0.2277
CA-NL,2021-06,0.0014,0.9934,0,0.0051
CA-NS,2021-06,0.1904,0.3232,0,0.4864
CA-NT,2021-06,0.1268,0.7978,0.0015,0.0739
CA-NU,2021-06,1,0,0,0
CA-ON,2021-06,0.034,0.6469,0.0684,0.2508
CA-PE,2021-06,0.0007,0,0.0016,0.9977
CA-QC,2021-06,0.0008,0.9446,0,0.0546
CA-SK,2021-06,0.3184,0.5494,0,0.1322
CA-YT,2021-06,0.0029,0.9971,0,0
US-AK,2021-06,0.0159,0.9236,0,0.0605
US-AL,2021-06,0.2168,0.7541,0.0291,0
US-AR,2021-06,0.1166,0.8052,0.0782,0
US-AZ,2021-06,0.0125,0.3889,0.5056,0.093
US-CA,2021-06,0.063,0.2045,0.5012,0.2313
US-CO,2021-06,0.0097,0.1,0.1337,0.7566
US-CT,2021-06,0.5615,0.1741,0.2602,0.0042
US-DC,2021-06,0.7059,0,0.2941,0
US-DE,2021-06,0.4893,0,0.4908,0.0199
US-FL,2021-06,0.3049,0.013,0.6821,0
US-GA,2021-06,0.4064,0.2034,0.3902,0
US-HI,2021-06,0.1558,0.0563,0.3969,0.391
US-IA,2021-06,0.0073,0.0394,0.0117,0.9416
US-ID,2021-06,0.0435,0.7023,0.0726,0.1815
US-IL,2021-06,0.0257,0.0094,0.0317,0.9332
US-IN,2021-06,0.0489,0.0443,0.0924,0.8145
US-KS,2021-06,0.0031,0.0015,0.0046,0.9908
US-KY,2021-06,0.0564,0.934,0.0096,0
US-LA,2021-06,0.5417,0.4094,0.0489,0
US-MA,2021-06,0.2609,0.0405,0.6528,0.0459
US-MD,2021-06,0.1548,0.4512,0.2876,0.1064
US-ME,2021-06,0.3407,0.2131,0.0402,0.406
US-MI,2021-06,0.2218,0.0898,0.0551,0.6333
US-MN,2021-06,0.0902,0.0504,0.2041,0.6554
US-MO,2021-06,0.0211,0.2964,0.0222,0.6603
US-MS,2021-06,0.744,0,0.256,0
US-MT,2021-06,0.0025,0.7808,0.0046,0.2121
US-NC,2021-06,0.1065,0.2246,0.6509,0.018
US-ND,2021-06,0.0002,0.1842,0,0.8157
US-NE,2021-06,0.011,0.1474,0.0111,0.8305
US-NH,2021-06,0.4763,0.27,0.0029,0.2507
US-NJ,2021-06,0.2585,0,0.7354,0.0061
US-NM,2021-06,0.0021,0.0122,0.1867,0.7991
US-NV,2021-06,0.0043,0.2233,0.7388,0.0336
US-NY,2021-06,0.0558,0.7744,0.0429,0.127
US-OH,2021-06,0.1469,0.1316,0.1583,0.5632
US-OK,2021-06,0.0038,0.1267,0.0032,0.8663
US-OR,2021-06,0.0182,0.6876,0.0561,0.238
US-PA,2021-06,0.2734,0.3421,0.0425,0.3419
