country,period,Bioenergy,Hydro,Solar,Wind
SG,2019-03,0,0,1,0
SG,2019-04,0,0,1,0
SG,2019-05,0,0,1,0
SG,2019-06,0,0,1,0
SG,2019-07,0,0,1,0
SG,2019-08,0,0,1,0
SG,2019-09,0,0,1,0
SG,2019-10,0,0,1,0
SG,2019-11,0,0,1,0
SG,2019-12,0,0,1,0
SG,2020-01,0,0,1,0
SG,2020-02,0,0,1,0
SG,2020-03,0,0,1,0
SG,2020-04,0,0,1,0
SG,2020-05,0,0,1,0
SG,2020-06,0,0,1,0
SG,2020-07,0,0,1,0
SG,2020-08,0,0,1,0
SG,2020-09,0,0,1,0
SG,2020-10,0,0,1,0
SG,2020-11,0,0,1,0
SG,2020-12,0,0,1,0
SG,2021-01,0,0,1,0
SG,2021-02,0,0,1,0
SG,2021-03,0,0,1,0
SG,2021-04,0,0,1,0
SG,2021-05,0,0,1,0
SG,2021-06,0,0,1,0
SG,2021-07,0,0,1,0
SG,2021-08,0,0,1,0
SG,2021-09,0,0,1,0
SG,2021-10,0,0,1,0
SG,2021-11,0,0,1,0
SG,2021-12,0,0,1,0
SG,2022-01,0,0,1,0
SG,2022-02,0,0,1,0
SG,2022-03,0,0,1,0
SG,2022-04,0,0,1,0
SG,2022-05,0,0,1,0
SG,2022-06,0,0,1,0
SG,2022-07,0.0173,0.1444,0.796,0.0423
SG,2022-08,0.0092,0.065,0.9055,0.0203
SG,2022-09,0.0139,0.0979,0.8523,0.0359
SG,2022-10,0.0062,0.0431,0.93,0.0207
SG,2022-11,0.0035,0.0179,0.9678,0.0108
SG,2022-12,0,0,1,0
SG,2023-01,0.0086,0.0336,0.9309,0.0269
SG,2023-02,0.0103,0.042,0.9154,0.0323
SG,2023-03,0.009,0.0347,0.9274,0.0289
SG,2023-04,0,0,1,0
SG,2023-05,0,0,1,0
SG,2023-06,0,0,1,0
SG,2023-07,0,0,1,0
SG,2023-08,0,0,1,0
SG,2023-09,0,0,1,0
SG,2023-10,0,0,1,0
SG,2023-11,0,0,1,0
SG,2023-12,0,0,1,0
SG,2024-01,0,0,1,0
SG,2024-02,0,0,1,0
SG,2024-03,0,0,1,0
SG,2024-04,0,0,1,0
SG,2024-05,0,0,1,0
SG,2024-06,0,0,1,0
SG,2024-07,0,0,1,0
SG,2024-08,0,0,1,0
SG,2024-09,0,0,1,0
SG,2024-10,0,0,1,0
SG,2024-11,0,0,1,0
SG,2024-12,0.0041,0.0164,0.965,0.0145
SG,2025-01,0.0048,0.0178,0.9592,0.0181
SG,2025-02,0.0036,0.0139,0.9689,0.0137
SG,2025-03,0.0033,0.0139,0.9677,0.0151
SG,2025-04,0.0027,0.0133,0.9711,0.0129
SG,2025-05,0.0038,0.0242,0.9542,0.0177
SG,2025-06,0.0027,0.0223,0.9643,0.0106
SG,2025-07,0.0026,0.0189,0.9699,0.0086
SG,2025-08,0.0028,0.0199,0.9695,0.0078
SG,2025-09,0.0026,0.0227,0.966,0.0087
SG,2025-10,0.0034,0.0249,0.9599,0.0118
SG,2025-11,0.004,0.0215,0.9555,0.019
SG,2025-12,0.0029,0.0122,0.9731,0.0118
SG,2026-01,0.0026,0.0097,0.9774,0.0103
SG,2026-02,0.004,0.0155,0.9646,0.0159
SG,2026-03,0.0038,0.0165,0.9654,0.0143
SG,2026-04,0.0035,0.018,0.9627,0.0158
SG,2026-05,0.0033,0.0212,0.9601,0.0154
SG,2026-06,0.0033,0.0212,0.9601,0.0154
