country,period,Bioenergy,Hydro,Solar,Wind
AE,2019-01,0,0,1,0
AE,2019-02,0,0,1,0
AE,2019-03,0,0,1,0
AE,2019-04,0,0,1,0
AE,2019-05,0,0,1,0
AE,2019-06,0,0,1,0
AE,2019-07,0,0,1,0
AE,2019-08,0,0,1,0
AE,2019-09,0,0,1,0
AE,2019-10,0,0,1,0
AE,2019-11,0,0,1,0
AE,2019-12,0,0,1,0
AE,2020-01,0,0,1,0
AE,2020-02,0,0,1,0
AE,2020-03,0,0,1,0
AE,2020-04,0,0,1,0
AE,2020-05,0,0,1,0
AE,2020-06,0,0,1,0
AE,2020-07,0,0,1,0
AE,2020-08,0,0,1,0
AE,2020-09,0,0,1,0
AE,2020-10,0,0,1,0
AE,2020-11,0,0,1,0
AE,2020-12,0,0,1,0
AE,2021-01,0,0,1,0
AE,2021-02,0,0,1,0
AE,2021-03,0,0,1,0
AE,2021-04,0,0,1,0
AE,2021-05,0,0,1,0
AE,2021-06,0,0,1,0
AE,2021-07,0,0,1,0
AE,2021-08,0,0,1,0
AE,2021-09,0,0,1,0
AE,2021-10,0,0,1,0
AE,2021-11,0,0,1,0
AE,2021-12,0,0,1,0
AE,2022-01,0,0,1,0
AE,2022-02,0,0,1,0
AE,2022-03,0,0,1,0
AE,2022-04,0,0,1,0
AE,2022-05,0,0,1,0
AE,2022-06,0,0,1,0
AE,2022-07,0,0,1,0
AE,2022-08,0,0,1,0
AE,2022-09,0,0,1,0
AE,2022-10,0,0,1,0
AE,2022-11,0,0,1,0
AE,2022-12,0,0,1,0
AE,2023-01,0,0,1,0
AE,2023-02,0,0,1,0
AE,2023-03,0,0,1,0
AE,2023-04,0,0,1,0
AE,2023-05,0,0,1,0
AE,2023-06,0,0,1,0
AE,2023-07,0,0,1,0
AE,2023-08,0,0,1,0
AE,2023-09,0,0,1,0
AE,2023-10,0,0,1,0
AE,2023-11,0,0,1,0
AE,2023-12,0,0,1,0
AE,2024-01,0,0,1,0
AE,2024-02,0,0,1,0
AE,2024-03,0,0,1,0
AE,2024-04,0,0,1,0
AE,2024-05,0,0,1,0
AE,2024-06,0,0,1,0
AE,2024-07,0,0,1,0
AE,2024-08,0,0,1,0
AE,2024-09,0,0,1,0
AE,2024-10,0,0,1,0
AE,2024-11,0,0,1,0
AE,2024-12,0,0,1,0
AE,2025-01,0,0,1,0
AE,2025-02,0,0,1,0
AE,2025-03,0,0,1,0
AE,2025-04,0,0,1,0
AE,2025-05,0,0,1,0
AE,2025-06,0,0,1,0
AE,2025-07,0,0,1,0
AE,2025-08,0,0,1,0
AE,2025-09,0,0,1,0
AE,2025-10,0,0,1,0
AE,2025-11,0,0,1,0
AE,2025-12,0,0,1,0
AE,2026-01,0,0,1,0
AE,2026-02,0,0,1,0
AE,2026-03,0,0,1,0
AE,2026-04,0,0,1,0
AE,2026-05,0,0,1,0
AE,2026-06,0,0,1,0
AE,2026-07,0,0,1,0
AE,2026-08,0,0,1,0
AF,2019-01,0.0435,0.7901,0.0774,0.0889
AF,2019-02,0.0383,0.7938,0.0794,0.0885
AF,2019-03,0.035,0.7757,0.0935,0.0958
AF,2019-04,0.0313,0.7764,0.0967,0.0956
AF,2019-05,0.0272,0.7803,0.0955,0.0969
AF,2019-06,0.027,0.8043,0.0897,0.0789
AF,2019-07,0.0272,0.823,0.0828,0.067
AF,2019-08,0.0279,0.8218,0.0852,0.0651
AF,2019-09,0.0279,0.819,0.0888,0.0644
AF,2019-10,0.0286,0.8071,0.0878,0.0765
AF,2019-11,0.0327,0.7862,0.0854,0.0957
AF,2019-12,0.039,0.7782,0.0828,0.1
AF,2020-01,0.0423,0.7716,0.0932,0.0929
AF,2020-02,0.0417,0.7691,0.0964,0.0928
AF,2020-03,0.0367,0.7418,0.1055,0.1159
AF,2020-04,0.036,0.7461,0.114,0.1039
AF,2020-05,0.0334,0.7531,0.1069,0.1066
AF,2020-06,0.0294,0.7918,0.0946,0.0841
AF,2020-07,0.029,0.8157,0.0883,0.067
AF,2020-08,0.0307,0.8074,0.093,0.069
AF,2020-09,0.0292,0.8143,0.0923,0.0642
AF,2020-10,0.0287,0.7961,0.0904,0.0848
AF,2020-11,0.0376,0.773,0.0892,0.1003
AF,2020-12,0.0435,0.7641,0.0872,0.1052
AF,2021-01,0.0444,0.7277,0.0999,0.128
AF,2021-02,0.0437,0.7238,0.1046,0.1279
AF,2021-03,0.0424,0.7172,0.116,0.1244
AF,2021-04,0.0388,0.7222,0.1149,0.1241
AF,2021-05,0.035,0.7232,0.1141,0.1278
AF,2021-06,0.0341,0.7561,0.1101,0.0997
AF,2021-07,0.0346,0.7752,0.1005,0.0896
AF,2021-08,0.0344,0.7856,0.1027,0.0773
AF,2021-09,0.0329,0.787,0.0983,0.0818
AF,2021-10,0.0335,0.7602,0.1018,0.1045
AF,2021-11,0.0382,0.735,0.1029,0.1239
AF,2021-12,0.0454,0.7207,0.103,0.1309
AF,2022-01,0.0492,0.7247,0.1113,0.1149
AF,2022-02,0.0486,0.7227,0.1137,0.115
AF,2022-03,0.0428,0.6928,0.1205,0.1439
AF,2022-04,0.0371,0.6916,0.1294,0.1418
AF,2022-05,0.0328,0.71,0.1241,0.1331
AF,2022-06,0.0323,0.7411,0.1175,0.1091
AF,2022-07,0.0361,0.7583,0.1169,0.0886
AF,2022-08,0.0397,0.7533,0.1195,0.0875
AF,2022-09,0.0381,0.7327,0.1306,0.0986
AF,2022-10,0.0375,0.7129,0.1256,0.1241
AF,2022-11,0.0432,0.7074,0.1172,0.1322
AF,2022-12,0.0469,0.6971,0.1081,0.1479
AF,2023-01,0.0474,0.6818,0.1228,0.148
AF,2023-02,0.046,0.6818,0.1281,0.1441
AF,2023-03,0.0456,0.6623,0.1458,0.1463
AF,2023-04,0.0399,0.6466,0.1473,0.1661
