subdivision,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
US-TX,2019-01,0.0033,0.2163,0.5068,0.0035,0.0834,0.0015,0,0.0062,0.1789
US-UT,2019-01,0.0018,0.7079,0.2153,0.017,0,0.0037,0.0074,0.0299,0.0169
US-VA,2019-01,0.0365,0.045,0.581,0.0172,0.3033,0.0109,0,0.0061,0
US-VT,2019-01,0.1957,0,0.0012,0.6186,0,0.0002,0,0.0324,0.152
US-WA,2019-01,0.0142,0.0724,0.1669,0.6222,0.09,0.0009,0,0.0002,0.0334
US-WI,2019-01,0.0223,0.4722,0.2772,0.0403,0.1508,0.0038,0,0.0002,0.0332
US-WV,2019-01,0,0.9286,0.0114,0.0358,0,0.0011,0,0,0.0231
US-WY,2019-01,0,0.8655,0.027,0.0171,0,0.0024,0,0.0017,0.0864
CA-AB,2019-02,0.0774,0.3453,0.4928,0.0186,0,0.0398,0.0014,0.0001,0.0247
CA-BC,2019-02,0.0058,0.0258,0.0369,0.914,0,0.003,0.0001,0,0.0145
CA-MB,2019-02,0.0003,0.0014,0.0021,0.9675,0,0.0002,0,0,0.0285
CA-NB,2019-02,0.0331,0.1475,0.2106,0.144,0.3614,0.017,0.0006,0,0.0858
CA-NL,2019-02,0.0044,0.0198,0.0282,0.941,0,0.0023,0.0001,0,0.0042
CA-NS,2019-02,0.0645,0.2878,0.4108,0.0966,0,0.0332,0.0011,0,0.1061
CA-NT,2019-02,0.0531,0.2371,0.3384,0.3281,0,0.0273,0.0009,0.0001,0.015
CA-NU,2019-02,0.0809,0.3609,0.5151,0,0,0.0416,0.0014,0,0
CA-ON,2019-02,0.0102,0.0456,0.065,0.2631,0.5001,0.0053,0.0002,0.008,0.1025
CA-PE,2019-02,0.0005,0.0023,0.0033,0,0,0.0003,0,0.0005,0.993
CA-QC,2019-02,0.0007,0.003,0.0043,0.9367,0,0.0003,0,0,0.0551
CA-SK,2019-02,0.0674,0.3006,0.4291,0.1466,0,0.0347,0.0012,0,0.0205
CA-YT,2019-02,0.0166,0.0739,0.1055,0.7953,0,0.0085,0.0003,0,0
US-AK,2019-02,0.0063,0.1147,0.4834,0.2392,0,0.1349,0,0,0.0213
US-AL,2019-02,0.0254,0.2032,0.3638,0.0931,0.3127,0.0001,0,0.0016,0
US-AR,2019-02,0.0211,0.3052,0.3329,0.1135,0.2251,0.0005,0,0.0016,0
US-AZ,2019-02,0.0022,0.2875,0.3017,0.0504,0.319,0.0007,0,0.0328,0.0056
US-CA,2019-02,0.0315,0.0017,0.503,0.1473,0.0694,0.0041,0.064,0.1049,0.0741
US-CO,2019-02,0.0027,0.4578,0.3126,0.0269,0,0.001,0,0.0145,0.1845
US-CT,2019-02,0.0182,0.0007,0.4902,0.014,0.4596,0.014,0,0.0028,0.0004
US-DE,2019-02,0.0155,0.0306,0.9398,0,0,0.0024,0,0.0104,0.0013
US-FL,2019-02,0.022,0.0605,0.7248,0.0014,0.1529,0.023,0,0.0153,0
US-GA,2019-02,0.0456,0.1353,0.4919,0.0447,0.268,0.0028,0,0.0117,0
US-HI,2019-02,0.0348,0.1423,0.0008,0.0089,0,0.7292,0,0.0212,0.0628
US-IA,2019-02,0.0033,0.4745,0.0982,0.0095,0.0789,0.001,0,0.0001,0.3345
US-ID,2019-02,0.0233,0.0016,0.2973,0.5092,0,0.0037,0.0052,0.0181,0.1416
US-IL,2019-02,0.0022,0.306,0.0853,0.0006,0.5158,0.0016,0,0.0002,0.0883
US-IN,2019-02,0.0044,0.6002,0.3162,0.0023,0,0.0037,0,0.0024,0.0708
US-KS,2019-02,0.001,0.4555,0.0373,0.0005,0.1857,0.0009,0,0,0.3191
US-KY,2019-02,0.0063,0.7811,0.1615,0.0494,0,0.0013,0,0.0004,0
US-LA,2019-02,0.0283,0.1044,0.7075,0.0306,0.0699,0.0593,0,0,0
US-MA,2019-02,0.0367,0,0.6261,0.0351,0.2225,0.0334,0,0.0352,0.011
