subdivision,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
US-HI,2020-07,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2020-07,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2020-07,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2020-07,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2020-07,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2020-07,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2020-07,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2020-07,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2020-07,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2020-07,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2020-07,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2020-07,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2020-07,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2020-07,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2020-07,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2020-07,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2020-07,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2020-07,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2020-07,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2020-07,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2020-07,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2020-07,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2020-07,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2020-07,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2020-07,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2020-07,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2020-07,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2020-07,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2020-07,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2020-07,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2020-07,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2020-07,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2020-07,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2020-07,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2020-07,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2020-07,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2020-07,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2020-07,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2020-07,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2020-07,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2020-08,0.0712,0.2744,0.5185,0.0474,0,0.0365,0.0009,0.0006,0.0506
CA-BC,2020-08,0.0053,0.0204,0.0386,0.8783,0,0.0027,0.0001,0,0.0545
CA-MB,2020-08,0.0002,0.0006,0.0011,0.9817,0,0.0001,0,0,0.0163
CA-NB,2020-08,0.0243,0.0938,0.1771,0.0536,0.5679,0.0125,0.0003,0,0.0705
CA-NL,2020-08,0.0014,0.0053,0.01,0.9772,0,0.0007,0,0,0.0054
CA-NS,2020-08,0.0705,0.2717,0.5133,0.0229,0,0.0361,0.0009,0,0.0846
CA-NT,2020-08,0.0415,0.1598,0.302,0.4444,0,0.0212,0.0005,0.0005,0.0301
CA-NU,2020-08,0.079,0.3044,0.5751,0,0,0.0405,0.001,0,0
CA-ON,2020-08,0.011,0.0426,0.0804,0.2122,0.5801,0.0057,0.0001,0.022,0.0458
CA-PE,2020-08,0.0007,0.0025,0.0048,0,0,0.0003,0,0.0017,0.9899
CA-QC,2020-08,0.0009,0.0035,0.0065,0.9375,0,0.0005,0,0,0.0511
CA-SK,2020-08,0.0637,0.2456,0.464,0.1816,0,0.0326,0.0008,0,0.0116
CA-YT,2020-08,0.0031,0.0121,0.0229,0.9602,0,0.0016,0,0,0
US-AK,2020-08,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2020-08,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2020-08,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2020-08,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2020-08,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2020-08,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2020-08,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2020-08,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2020-08,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2020-08,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2020-08,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2020-08,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2020-08,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2020-08,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2020-08,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2020-08,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2020-08,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2020-08,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2020-08,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2020-08,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2020-08,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2020-08,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2020-08,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2020-08,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2020-08,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2020-08,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2020-08,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2020-08,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2020-08,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2020-08,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2020-08,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2020-08,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2020-08,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2020-08,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2020-08,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2020-08,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2020-08,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2020-08,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2020-08,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2020-08,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2020-08,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2020-08,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2020-08,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2020-08,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2020-08,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2020-08,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2020-08,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2020-08,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2020-08,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2020-08,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2020-09,0.0719,0.2776,0.5241,0.0318,0,0.0368,0.0009,0.0004,0.0564
CA-BC,2020-09,0.0071,0.0273,0.0515,0.8576,0,0.0036,0.0001,0,0.0528
CA-MB,2020-09,0.0002,0.0008,0.0015,0.9693,0,0.0001,0,0.0001,0.028
CA-NB,2020-09,0.0536,0.207,0.3907,0.0785,0.1003,0.0274,0.0006,0,0.1418
CA-NL,2020-09,0.0014,0.0055,0.0104,0.9751,0,0.0007,0,0,0.0068
CA-NS,2020-09,0.0678,0.2619,0.4943,0.0283,0,0.0347,0.0008,0,0.1121
CA-NT,2020-09,0.0458,0.177,0.334,0.3794,0,0.0235,0.0006,0.0001,0.0397
CA-NU,2020-09,0.0789,0.3047,0.5751,0,0,0.0404,0.001,0,0
CA-ON,2020-09,0.0062,0.024,0.0453,0.2381,0.5806,0.0032,0.0001,0.0233,0.0792
CA-PE,2020-09,0.0008,0.0029,0.0055,0,0,0.0004,0,0.0013,0.9891
CA-QC,2020-09,0.0009,0.0037,0.0069,0.9187,0,0.0005,0,0,0.0693
CA-SK,2020-09,0.0649,0.2508,0.4734,0.1359,0,0.0333,0.0008,0,0.0409
CA-YT,2020-09,0.0055,0.0212,0.0399,0.9306,0,0.0028,0.0001,0,0
US-AK,2020-09,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2020-09,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2020-09,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2020-09,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2020-09,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2020-09,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2020-09,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2020-09,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2020-09,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2020-09,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2020-09,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2020-09,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2020-09,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2020-09,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2020-09,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2020-09,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2020-09,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2020-09,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2020-09,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2020-09,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2020-09,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2020-09,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2020-09,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2020-09,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2020-09,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2020-09,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2020-09,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2020-09,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2020-09,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2020-09,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2020-09,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2020-09,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2020-09,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2020-09,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2020-09,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2020-09,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2020-09,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2020-09,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2020-09,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2020-09,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2020-09,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2020-09,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2020-09,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2020-09,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2020-09,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2020-09,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2020-09,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2020-09,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2020-09,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2020-09,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2020-10,0.0711,0.2747,0.5192,0.0253,0,0.0364,0.0009,0.0002,0.0722
CA-BC,2020-10,0.0065,0.0251,0.0475,0.8754,0,0.0033,0.0001,0,0.0421
CA-MB,2020-10,0.0002,0.0006,0.0011,0.9682,0,0.0001,0,0,0.0298
CA-NB,2020-10,0.0452,0.1745,0.3299,0.3208,0,0.0232,0.0006,0,0.1059
CA-NL,2020-10,0.003,0.0117,0.0221,0.9567,0,0.0015,0,0,0.0049
CA-NS,2020-10,0.0667,0.2577,0.487,0.0344,0,0.0342,0.0008,0,0.1191
CA-NT,2020-10,0.0484,0.187,0.3534,0.3485,0,0.0248,0.0006,0.0001,0.0372
CA-NU,2020-10,0.0788,0.3044,0.5754,0,0,0.0404,0.001,0,0
CA-ON,2020-10,0.0055,0.0214,0.0404,0.2569,0.5823,0.0028,0.0001,0.0142,0.0764
CA-PE,2020-10,0.0007,0.0026,0.0049,0,0,0.0003,0,0.0008,0.9907
CA-QC,2020-10,0.0007,0.0028,0.0052,0.9255,0,0.0004,0,0,0.0654
CA-SK,2020-10,0.0659,0.2546,0.4812,0.1231,0,0.0338,0.0008,0,0.0406
CA-YT,2020-10,0.0042,0.0161,0.0303,0.9473,0,0.0021,0.0001,0,0
US-AK,2020-10,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2020-10,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2020-10,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2020-10,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2020-10,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2020-10,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2020-10,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2020-10,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2020-10,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2020-10,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2020-10,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2020-10,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2020-10,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2020-10,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2020-10,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2020-10,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2020-10,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2020-10,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2020-10,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2020-10,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2020-10,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2020-10,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2020-10,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2020-10,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2020-10,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2020-10,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2020-10,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2020-10,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2020-10,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2020-10,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2020-10,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2020-10,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2020-10,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2020-10,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2020-10,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2020-10,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2020-10,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2020-10,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2020-10,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2020-10,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2020-10,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2020-10,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2020-10,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2020-10,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2020-10,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2020-10,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2020-10,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2020-10,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2020-10,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2020-10,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2020-11,0.0687,0.2654,0.5015,0.0198,0,0.0352,0.0009,0.0001,0.1083
CA-BC,2020-11,0.0059,0.0229,0.0432,0.8706,0,0.003,0.0001,0,0.0544
CA-MB,2020-11,0.0002,0.0009,0.0018,0.9621,0,0.0001,0,0,0.0347
CA-NB,2020-11,0.0314,0.1213,0.2291,0.2121,0.3103,0.0161,0.0004,0,0.0794
CA-NL,2020-11,0.0036,0.0141,0.0266,0.9482,0,0.0019,0,0,0.0057
CA-NS,2020-11,0.0651,0.2515,0.4752,0.0526,0,0.0334,0.0008,0,0.1213
CA-NT,2020-11,0.0462,0.1787,0.3375,0.3883,0,0.0237,0.0006,0,0.025
CA-NU,2020-11,0.0788,0.3045,0.5752,0,0,0.0404,0.001,0,0
CA-ON,2020-11,0.0043,0.0168,0.0317,0.2629,0.5616,0.0022,0.0001,0.0115,0.1089
CA-PE,2020-11,0.0007,0.0029,0.0054,0,0,0.0004,0,0.0004,0.9903
CA-QC,2020-11,0.0008,0.003,0.0056,0.9195,0,0.0004,0,0,0.0707
CA-SK,2020-11,0.0657,0.2537,0.4794,0.1262,0,0.0337,0.0009,0,0.0405
CA-YT,2020-11,0.0102,0.0395,0.0746,0.8703,0,0.0052,0.0001,0,0
US-AK,2020-11,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2020-11,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2020-11,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2020-11,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2020-11,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2020-11,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2020-11,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2020-11,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2020-11,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2020-11,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2020-11,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2020-11,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2020-11,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2020-11,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2020-11,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2020-11,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2020-11,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2020-11,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2020-11,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2020-11,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2020-11,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2020-11,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2020-11,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2020-11,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2020-11,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2020-11,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2020-11,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2020-11,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2020-11,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2020-11,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2020-11,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2020-11,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2020-11,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2020-11,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2020-11,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2020-11,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2020-11,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2020-11,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2020-11,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2020-11,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2020-11,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2020-11,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
