period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2024-05,0.015,0.2518,0.3193,0.1538,0.0522,0.0963,0.0073,0.0546,0.0497
2024-06,0.0146,0.2561,0.321,0.1564,0.0513,0.0942,0.0071,0.0532,0.046
2024-07,0.0148,0.2664,0.3205,0.1555,0.052,0.0898,0.0067,0.0515,0.0426
2024-08,0.0151,0.2726,0.3203,0.1518,0.052,0.0898,0.0067,0.0532,0.0386
2024-09,0.0153,0.2661,0.3236,0.1461,0.051,0.0948,0.0071,0.0484,0.0475
2024-10,0.0154,0.2583,0.3234,0.1454,0.0528,0.0967,0.0072,0.0461,0.0547
2024-11,0.0158,0.2662,0.3246,0.139,0.0541,0.0969,0.0073,0.0397,0.0564
2024-12,0.0163,0.2779,0.3137,0.1354,0.0584,0.0935,0.0071,0.0375,0.0603
2025-01,0.0159,0.2677,0.3202,0.1359,0.0584,0.0946,0.0071,0.0415,0.0588
2025-02,0.0158,0.2683,0.3213,0.1368,0.0539,0.0971,0.0072,0.0449,0.0548
2025-03,0.0154,0.2624,0.311,0.1374,0.0558,0.0942,0.0072,0.0542,0.0623
2025-04,0.0152,0.2507,0.3161,0.1412,0.0526,0.0969,0.0074,0.0617,0.0582
2025-05,0.015,0.248,0.3143,0.1475,0.0516,0.0953,0.0073,0.0646,0.0565
2025-06,0.0148,0.2484,0.3146,0.1453,0.0519,0.0953,0.0073,0.0655,0.0569
