id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator,embodied
h100-2-m,h100,h100-2-m,accelerated,48,480,0,0,amd-epyc-9334,2,nvidia-tesla-h10080,1
l4-1-24g,l4,l4-1-24g,accelerated,8,48,0,0,amd-epyc-7413,1,nvidia-tesla-l4,1
l4-2-24g,l4,l4-2-24g,accelerated,16,96,0,0,amd-epyc-7413,2,nvidia-tesla-l4,1
l4-4-24g,l4,l4-4-24g,accelerated,32,192,0,0,amd-epyc-7413,4,nvidia-tesla-l4,1
l4-8-24g,l4,l4-8-24g,accelerated,64,384,0,0,amd-epyc-7413,8,nvidia-tesla-l4,1
l40s-1-48g,l40s,l40s-1-48g,accelerated,8,96,0,0,amd-epyc-7413,1,nvidia-tesla-l40s,1
l40s-2-48g,l40s,l40s-2-48g,accelerated,16,192,0,0,amd-epyc-7413,2,nvidia-tesla-l40s,1
l40s-4-48g,l40s,l40s-4-48g,accelerated,32,384,0,0,amd-epyc-7413,4,nvidia-tesla-l40s,1
l40s-8-48g,l40s,l40s-8-48g,accelerated,64,768,0,0,amd-epyc-7413,8,nvidia-tesla-l40s,1
play2-micro,play2,play2-micro,general,4,8,0,0,amd-epyc-7543,0,,1
play2-nano,play2,play2-nano,general,2,4,0,0,amd-epyc-7543,0,,1
play2-pico,play2,play2-pico,general,1,2,0,0,amd-epyc-7543,0,,1
pop2-16c-64g,pop2,pop2-16c-64g,general,16,64,0,0,amd-epyc-7543,0,,1
pop2-16c-64g-win,pop2,pop2-16c-64g-win,general,16,64,0,0,amd-epyc-7543,0,,1
pop2-2c-8g,pop2,pop2-2c-8g,general,2,8,0,0,amd-epyc-7543,0,,1
pop2-2c-8g-win,pop2,pop2-2c-8g-win,general,2,8,0,0,amd-epyc-7543,0,,1
pop2-32c-128g,pop2,pop2-32c-128g,general,32,128,0,0,amd-epyc-7543,0,,1
pop2-32c-128g-win,pop2,pop2-32c-128g-win,general,32,128,0,0,amd-epyc-7543,0,,1
pop2-4c-16g,pop2,pop2-4c-16g,general,4,16,0,0,amd-epyc-7543,0,,1
pop2-4c-16g-win,pop2,pop2-4c-16g-win,general,4,16,0,0,amd-epyc-7543,0,,1
pop2-64c-256g,pop2,pop2-64c-256g,general,64,256,0,0,amd-epyc-7543,0,,1
pop2-8c-32g,pop2,pop2-8c-32g,general,8,32,0,0,amd-epyc-7543,0,,1
pop2-8c-32g-win,pop2,pop2-8c-32g-win,general,8,32,0,0,amd-epyc-7543,0,,1
pop2-hc-16c-32g,pop2,pop2-hc-16c-32g,compute,16,32,0,0,amd-epyc-7543,0,,1
pop2-hc-2c-4g,pop2,pop2-hc-2c-4g,compute,2,4,0,0,amd-epyc-7543,0,,1
pop2-hc-32c-64g,pop2,pop2-hc-32c-64g,compute,32,64,0,0,amd-epyc-7543,0,,1
pop2-hc-4c-8g,pop2,pop2-hc-4c-8g,compute,4,8,0,0,amd-epyc-7543,0,,1
pop2-hc-64c-128g,pop2,pop2-hc-64c-128g,compute,64,128,0,0,amd-epyc-7543,0,,1
pop2-hc-8c-16g,pop2,pop2-hc-8c-16g,compute,8,16,0,0,amd-epyc-7543,0,,1
pop2-hm-16c-128g,pop2,pop2-hm-16c-128g,memory,16,128,0,0,amd-epyc-7543,0,,1
pop2-hm-2c-16g,pop2,pop2-hm-2c-16g,memory,2,16,0,0,amd-epyc-7543,0,,1
pop2-hm-32c-256g,pop2,pop2-hm-32c-256g,memory,32,256,0,0,amd-epyc-7543,0,,1
pop2-hm-4c-32g,pop2,pop2-hm-4c-32g,memory,4,32,0,0,amd-epyc-7543,0,,1
pop2-hm-64c-512g,pop2,pop2-hm-64c-512g,memory,64,512,0,0,amd-epyc-7543,0,,1
pop2-hm-8c-64g,pop2,pop2-hm-8c-64g,memory,8,64,0,0,amd-epyc-7543,0,,1
pro2-l,pro2,pro2-l,general,32,128,0,0,amd-epyc-7543,0,,1
pro2-m,pro2,pro2-m,general,16,64,0,0,amd-epyc-7543,0,,1
pro2-s,pro2,pro2-s,general,8,32,0,0,amd-epyc-7543,0,,1
pro2-xs,pro2,pro2-xs,general,4,16,0,0,amd-epyc-7543,0,,1
pro2-xxs,pro2,pro2-xxs,general,2,8,0,0,amd-epyc-7543,0,,1
render-s,render,render-s,accelerated,400,42,400,0,intel-xeon-6148,1,nvidia-tesla-p10016,1
stardust1-s,stardust1,stardust1-s,general,1,1,0,0,amd-epyc-7281,0,,1
start1-l,start1,start1-l,general,8,8,0,0,amd-epyc-7281,0,,1
start1-m,start1,start1-m,general,4,4,0,0,amd-epyc-7281,0,,1
start1-s,start1,start1-s,general,2,2,0,0,amd-epyc-7281,0,,1
start1-xs,start1,start1-xs,general,1,1,0,0,amd-epyc-7281,0,,1
vc1l,vc1,vc1l,general,6,8,0,0,amd-epyc-7281,0,,1
vc1m,vc1,vc1m,general,4,4,0,0,amd-epyc-7281,0,,1
vc1s,vc1,vc1s,general,2,2,0,0,amd-epyc-7281,0,,1
