id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator
b8ps-v2,bpsv2,b8ps v2,general,8,32,0,0,ampere-altra-q8030,0,
b8s-v2,bsv2,b8s v2,general,8,32,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d1,dv1,d1,general,1,3.5,50,0,intel-xeon-8272cl,0,
d1-v2,dv2,d1 v2,general,1,3.5,50,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d11,dv1,d11,general,2,14,100,0,intel-xeon-8171m,0,
d11-v2,dv2-11-15,d11 v2,general,2,14,100,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d11s,dsv1,d11s,general,2,14,28,0,intel-xeon-8171m,0,
d12,dv1,d12,general,4,28,200,0,intel-xeon-8171m,0,
d12-v2,dv2-11-15,d12 v2,general,4,28,200,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d128ds-v6,ddsv6,d128ds v6,general,128,512,7040,0,intel-xeon-8573c,0,
d128lds-v6,dldsv6,d128lds v6,general,128,256,7040,0,intel-xeon-8573c,0,
d128ls-v6,dlsv6,d128ls v6,general,128,256,0,0,intel-xeon-8573c,0,
d128s-v6,dsv6,d128s v6,general,128,512,0,0,intel-xeon-8573c,0,
d12s,dsv1,d12s,general,4,28,56,0,intel-xeon-8171m,0,
d13,dv1,d13,general,8,56,400,0,intel-xeon-8272cl,0,
d13-v2,dv2-11-15,d13 v2,general,8,56,400,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d13s,dsv1,d13s,general,8,56,112,0,intel-xeon-8272cl,0,
d14,dv1,d14,general,16,112,800,0,intel-xeon-8171m,0,
d14-v2,dv2-11-15,d14 v2,general,16,112,800,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d14s,dsv1,d14s,general,16,112,224,0,intel-xeon-8272cl,0,
d15-v2,dv2-11-15,d15 v2,general,20,140,1000,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d16-v3,dv3,d16 v3,general,16,64,400,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d16-v4,dv4,d16 v4,general,16,64,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
d16-v5,dv5,d16 v5,general,16,64,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d16a-v4,dav4,d16a v4,general,16,64,400,0,"amd-epyc-7452,amd-epyc-7763v",0,
d16ads-v5,dadsv5,d16ads v5,general,16,64,600,0,amd-epyc-7763v,0,
d16ads-v6,dadsv6,d16ads v6,general,16,64,880,0,amd-epyc-9004,0,
d16alds-v6,daldsv6,d16alds v6,general,16,32,880,0,amd-epyc-9004,0,
d16als-v6,dalsv6,d16als v6,general,16,32,0,0,amd-epyc-9004,0,
d16as-v4,dasv4,d16as v4,general,16,64,128,0,"amd-epyc-7452,amd-epyc-7763v",0,
d16as-v5,dasv5,d16as v5,general,16,64,0,0,amd-epyc-7763v,0,
d16as-v6,dasv6,d16as v6,general,16,64,0,0,amd-epyc-9004,0,
d16d-v4,ddv4,d16d v4,general,16,64,600,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d16d-v5,ddv5,d16d v5,general,16,64,600,0,intel-xeon-8370c,0,
d16ds-v4,ddsv4,d16ds v4,general,16,64,600,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d16ds-v5,ddsv5,d16ds v5,general,16,64,600,0,intel-xeon-8370c,0,
d16ds-v6,ddsv6,d16ds v6,general,16,64,880,0,intel-xeon-8573c,0,
d16lds-v5,dldsv5,d16lds v5,general,16,32,600,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d16lds-v6,dldsv6,d16lds v6,general,16,32,880,0,intel-xeon-8573c,0,
d16ls-v5,dlsv5,d16ls v5,general,16,32,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d16ls-v6,dlsv6,d16ls v6,general,16,32,0,0,intel-xeon-8573c,0,
d16pds-v5,dpdsv5,d16pds v5,general,16,64,600,0,ampere-altra-q8030,0,
d16pds-v6,dpdsv6,d16pds v6,general,16,64,880,0,azure-cobalt-100,0,
d16plds-v5,dpldsv5,d16plds v5,general,16,32,600,0,ampere-altra-q8030,0,
d16plds-v6,dpldsv6,d16plds v6,general,16,32,880,0,azure-cobalt-100,0,
d16pls-v5,dplsv5,d16pls v5,general,16,32,0,0,ampere-altra-q8030,0,
d16pls-v6,dplsv6,d16pls v6,general,16,32,0,0,azure-cobalt-100,0,
d16ps-v5,dpsv5,d16ps v5,general,16,64,0,0,ampere-altra-q8030,0,
d16ps-v6,dpsv6,d16ps v6,general,16,64,0,0,azure-cobalt-100,0,
d16s-v3,dsv3,d16s v3,general,16,64,128,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d16s-v4,dsv4,d16s v4,general,16,64,0,0,"intel-xeon-8473c,intel-xeon-8370c,intel-xeon-8272cl",0,
d16s-v5,dsv5,d16s v5,general,16,64,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d16s-v6,dsv6,d16s v6,general,16,64,0,0,intel-xeon-8573c,0,
d1s,dsv1,d1s,general,1,3.5,7,0,intel-xeon-8272cl,0,
d2,dv1,d2,general,2,7,100,0,intel-xeon-8272cl,0,
d2-v2,dv2,d2 v2,general,2,7,100,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d2-v3,dv3,d2 v3,general,2,8,50,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d2-v4,dv4,d2 v4,general,2,8,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
d2-v5,dv5,d2 v5,general,2,8,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d2a-v4,dav4,d2a v4,general,2,8,50,0,"amd-epyc-7452,amd-epyc-7763v",0,
d2ads-v5,dadsv5,d2ads v5,general,2,8,75,0,amd-epyc-7763v,0,
d2ads-v6,dadsv6,d2ads v6,general,2,8,110,0,amd-epyc-9004,0,
d2alds-v6,daldsv6,d2alds v6,general,2,4,110,0,amd-epyc-9004,0,
d2als-v6,dalsv6,d2als v6,general,2,4,0,0,amd-epyc-9004,0,
d2as-v4,dasv4,d2as v4,general,2,8,16,0,"amd-epyc-7452,amd-epyc-7763v",0,
d2as-v5,dasv5,d2as v5,general,2,8,0,0,amd-epyc-7763v,0,
d2as-v6,dasv6,d2as v6,general,2,8,0,0,amd-epyc-9004,0,
d2d-v4,ddv4,d2d v4,general,2,8,75,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d2d-v5,ddv5,d2d v5,general,2,8,75,0,intel-xeon-8370c,0,
d2ds-v4,ddsv4,d2ds v4,general,2,8,75,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d2ds-v5,ddsv5,d2ds v5,general,2,8,75,0,intel-xeon-8370c,0,
