id,family,category,vcpus,memory,ssd,hdd,cpu
n2-highcpu-64,n2-highcpu-64,general,64,64,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-8,n2-highcpu-8,general,8,8,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-80,n2-highcpu-80,general,80,80,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highcpu-96,n2-highcpu-96,general,96,96,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-128,n2-highmem-128,general,128,864,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-16,n2-highmem-16,general,16,128,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-2,n2-highmem-2,general,2,16,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-32,n2-highmem-32,general,32,256,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-4,n2-highmem-4,general,4,32,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-48,n2-highmem-48,general,48,384,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-64,n2-highmem-64,general,64,512,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-8,n2-highmem-8,general,8,64,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-80,n2-highmem-80,general,80,640,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-highmem-96,n2-highmem-96,general,96,768,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-128,n2-standard-128,general,128,512,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-16,n2-standard-16,general,16,64,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-2,n2-standard-2,general,2,8,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-32,n2-standard-32,general,32,128,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-4,n2-standard-4,general,4,16,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-48,n2-standard-48,general,48,192,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-64,n2-standard-64,general,64,256,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-8,n2-standard-8,general,8,32,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-80,n2-standard-80,general,80,320,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2-standard-96,n2-standard-96,general,96,384,375,,"intel-xeon-8373c,intel-xeon-6268cl"
n2d-highcpu-128,n2d-highcpu-128,general,128,128,375,,"amd-epyc-7b13,amd-epyc-7b12"
n2d-highcpu-16,n2d-highcpu-16,general,16,16,375,,"amd-epyc-7b13,amd-epyc-7b12"
n2d-highcpu-2,n2d-highcpu-2,general,2,2,375,,"amd-epyc-7b13,amd-epyc-7b12"
n2d-highcpu-224,n2d-highcpu-224,general,224,224,375,,"amd-epyc-7b13,amd-epyc-7b12"
n2d-highcpu-32,n2d-highcpu-32,general,32,32,375,,"amd-epyc-7b13,amd-epyc-7b12"
n2d-highcpu-4,n2d-highcpu-4,general,4,4,375,,"amd-epyc-7b13,amd-epyc-7b12"
