subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-NH,2019-01,9.02679e-8,0.00022653,0.0059502,2.92376e-10,1.65084e-9,0.00896715,0.000374155,0.00000776873,0.00773008
US-NJ,2019-01,6.72476e-8,0.0000340328,0.000951937,4.36282e-11,3.10419e-10,0.0014283,0.000128887,0.00000108874,0.00128915
US-NM,2019-01,2.55832e-7,0.0000187604,0.0157206,1.28803e-9,8.15496e-10,0.00322962,0.000403126,6.42664e-8,0.00203673
US-NV,2019-01,4.38121e-7,0.0000293042,0.00766703,2.99726e-10,9.26332e-10,0.00347457,0.000735889,1.29883e-7,0.00216154
US-NY,2019-01,6.18087e-8,0.0000453038,0.00924016,3.57459e-10,6.56091e-10,0.00401592,0.00028101,0.00000115934,0.00181101
US-OH,2019-01,2.07899e-8,0.0000137845,0.00177101,1.46407e-10,1.52622e-10,0.000735584,0.0000431205,4.36465e-7,0.00058957
US-OK,2019-01,2.31791e-7,0.0000290619,0.0261868,2.194e-9,1.11966e-9,0.00496323,0.000397252,3.26421e-7,0.00289148
US-OR,2019-01,1.01268e-7,0.00006564,0.0174242,5.00022e-10,1.1321e-9,0.00737806,0.000553809,0.00000140086,0.00261244
US-PA,2019-01,1.91282e-8,0.0000220117,0.00167435,1.19998e-10,2.00763e-10,0.00104046,0.0000530227,7.23991e-7,0.000834103
US-RI,2019-01,9.50631e-8,0.0000898783,0.00473267,3.83145e-10,7.71333e-10,0.00377658,0.00020975,0.00000300351,0.00338396
US-SC,2019-01,4.3989e-8,0.0000540018,0.00176151,4.68794e-11,4.36701e-10,0.00235162,0.000137173,0.00000178631,0.00187792
US-SD,2019-01,1.43492e-7,0.0000350128,0.0281908,1.25109e-9,1.3045e-9,0.00836994,0.000666371,5.9493e-10,0.00218598
US-TN,2019-01,2.27244e-8,0.0000307562,0.00327519,5.53222e-11,3.34111e-10,0.00210214,0.000135824,8.94792e-7,0.0010694
US-TX,2019-01,1.57257e-7,0.000019316,0.0139627,1.195e-9,6.53082e-10,0.00274055,0.000250546,2.78168e-7,0.0017641
US-UT,2019-01,1.77207e-7,0.0000146988,0.00390082,2.02939e-10,4.10113e-10,0.00157365,0.000296936,1.50733e-7,0.00101966
US-VA,2019-01,6.05228e-8,0.0000904935,0.00135406,5.49753e-11,6.55788e-10,0.00339743,0.000170908,0.00000309827,0.00310909
US-VT,2019-01,4.57737e-7,0.00051657,0.0329877,1.47759e-9,4.6985e-9,0.0257263,0.00151319,0.0000166119,0.0186809
US-WA,2019-01,7.15775e-8,0.0000636344,0.0196698,4.52018e-10,1.18729e-9,0.00824345,0.000599034,0.00000120268,0.00242722
US-WI,2019-01,4.22077e-8,0.0000574235,0.00387163,2.51896e-10,5.05577e-10,0.00268795,0.000133474,0.0000018957,0.00211716
US-WV,2019-01,1.77355e-8,0.00000281081,0.00270233,1.63951e-10,1.18486e-10,0.000669037,0.0000538264,4.51734e-11,0.000232847
US-WY,2019-01,6.83662e-8,0.00000580706,0.00704701,5.77335e-10,2.98228e-10,0.00131149,0.000117718,7.82731e-11,0.000717801
CA-AB,2019-02,7.74333e-8,0.000200449,0.0033736,2.40551e-10,1.38379e-9,0.00727947,0.000275348,0.00000698568,0.00683381
CA-BC,2019-02,6.9643e-8,0.0000562693,0.0261102,4.2383e-10,1.40965e-9,0.0104658,0.000800215,5.23187e-7,0.00212101
