"country","year","adpe","ap","ctue","ctuh-c","ctuh-nc","gwp","ir","pm","wu"
"BO","2019","3,3981892235236903e-7","0,0001585371524861734","0,029586096387997297","6,128994506488638e-10","2,43353404969418e-9","0,014903127397729204","0,0012767696487976268","0,000003694659457454959","0,006195124221942597"
"BA","2019","7,977703984177574e-8","0,000044759064828591696","0,028782599922663327","5,477055814747074e-10","1,439628081621783e-9","0,01075306147091637","0,0008459303996906535","8,038475243749686e-10","0,0018429060115117283"
"BW","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"BR","2019","2,1885893616904657e-7","0,00009637339928448566","0,03302422924249385","1,1050062300196158e-9","1,98006871594344e-9","0,01266281571612965","0,0010109422363301262","0,0000017046303417405959","0,004219282240696944"
"BN","2019","9,69214757709251e-7","0,0003249482378854625","0,042008975770925105","2,096492290748899e-9","4,38193832599119e-9","0,021645319383259917","0,002114476872246696","0,00000883682765969163","0,014074174008810567"
"BG","2019","0,000001500114640369789","0,00020440197818487958","0,048046226624236826","2,380751733436756e-9","4,449738754282951e-9","0,01972714505061232","0,0028152244703543703","0,000003572667747177958","0,011598898105480133"
"BF","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"BI","2019","6,06e-8","0,0000445","0,027299999999999994","3,5400000000000007e-10","1,3899999999999997e-9","0,010700000000000001","0,0008400000000000004","8,070000000000001e-10","0,00166"
"CV","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"KH","2019","9,69214757709251e-7","0,0003249482378854625","0,042008975770925105","2,096492290748899e-9","4,38193832599119e-9","0,021645319383259917","0,002114476872246696","0,00000883682765969163","0,014074174008810567"
"CM","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CA","2019","1,587625875603825e-7","0,00011011569075106285","0,030805600654405782","8,576387547577241e-10","1,947944824932386e-9","0,012898480348560138","0,0009568723039498915","0,0000022776768749781833","0,0043589712183319295"
"KY","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"CF","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"TD","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CL","2019","0,000001197293343452173","0,00022425903949706207","0,04152892241035296","1,7230048366443737e-9","4,079237218181096e-9","0,01941876513031016","0,0024512474432298583","0,000004737232658037509","0,011091393587525351"
