subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-PA,2022,2.07684e-8,0.000017479,0.00148722,1.09299e-10,1.69647e-10,0.000852728,0.0000496091,5.65258e-7,0.00068466
US-PA,2023,2.42217e-8,0.0000180425,0.00146702,1.04603e-10,1.7688e-10,0.000880324,0.0000555452,5.79201e-7,0.000707966
US-PA,2024,4.37862e-8,0.0000176296,0.00180658,1.21756e-10,2.0715e-10,0.000967536,0.0000857563,5.25764e-7,0.000751388
US-RI,2019,7.70907e-8,0.0000692435,0.00288657,2.21541e-10,5.80396e-10,0.00283209,0.000168029,0.00000231424,0.00256866
US-RI,2020,1.52401e-7,0.0000632851,0.00367104,2.40239e-10,6.5765e-10,0.00295876,0.000280855,0.00000195809,0.00256378
US-RI,2021,1.95032e-7,0.0000637733,0.00385862,2.26774e-10,7.1825e-10,0.00312773,0.000347794,0.00000189692,0.00267071
US-RI,2022,2.90839e-7,0.0000823386,0.00569256,3.30629e-10,9.93391e-10,0.00424185,0.000509734,0.00000237197,0.0035639
US-RI,2023,3.32241e-7,0.0000841637,0.00581529,3.14302e-10,1.05848e-9,0.00443719,0.00057501,0.00000236274,0.00370962
US-RI,2024,5.30182e-7,0.000102158,0.00873967,4.47531e-10,1.48378e-9,0.00596918,0.000895048,0.00000262396,0.00484238
US-SC,2019,6.36692e-8,0.0000556276,0.00144586,5.03361e-11,4.54899e-10,0.00230013,0.000153378,0.00000183881,0.00198226
US-SC,2020,1.12543e-7,0.0000573125,0.00239575,7.90417e-11,5.53446e-10,0.00268357,0.000238817,0.00000178805,0.00216803
US-SC,2021,1.42286e-7,0.0000566934,0.00240717,8.94619e-11,5.81598e-10,0.00267167,0.000274394,0.00000172979,0.00222647
US-SC,2022,1.49272e-7,0.0000564084,0.00237359,9.14517e-11,5.8597e-10,0.00265206,0.000281677,0.00000171312,0.00223558
US-SC,2023,1.63566e-7,0.0000541593,0.00272254,1.00154e-10,6.01216e-10,0.00269954,0.000306714,0.00000159596,0.00220076
US-SC,2024,1.94982e-7,0.000058471,0.00317311,1.17339e-10,6.77584e-10,0.00299633,0.000359518,0.00000168807,0.00242501
US-SD,2019,1.6355e-7,0.0000344686,0.0292872,1.45495e-9,1.3327e-9,0.00822658,0.00065745,5.76312e-10,0.00235476
US-SD,2020,2.90925e-7,0.0000410564,0.0405886,2.71822e-9,1.75514e-9,0.00934219,0.000753458,7.03957e-8,0.00370114
US-SD,2021,3.82396e-7,0.0000444308,0.0481458,3.63485e-9,2.02584e-9,0.00986574,0.000800874,1.12335e-7,0.00463447
US-SD,2022,4.04308e-7,0.0000448508,0.0495306,3.85772e-9,2.07035e-9,0.0098115,0.000797633,1.36982e-7,0.00485063
US-SD,2023,4.0206e-7,0.0000397791,0.0474366,3.72125e-9,1.97569e-9,0.00923604,0.000772099,1.21497e-8,0.00459714
US-SD,2024,5.38758e-7,0.0000479211,0.0540356,4.2491e-9,2.35461e-9,0.0106675,0.000984496,6.50983e-10,0.00552168
