period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
2022-09,5.98179e-7,0.00131763,0.221775,0.0000174329,0.00000889832,0.52357,0.00736305,0.000044826,0.0638032
2022-10,5.927e-7,0.00129956,0.217764,0.0000179809,0.00000917593,0.513336,0.00728228,0.0000451575,0.0628355
2022-11,5.68578e-7,0.00131104,0.221484,0.0000178578,0.00000911435,0.521357,0.00731669,0.0000449122,0.0640663
2022-12,5.54388e-7,0.00131614,0.226056,0.0000172035,0.00000878315,0.530271,0.00736127,0.0000436838,0.065584
2023-01,5.70444e-7,0.00130675,0.22152,0.000017717,0.00000904292,0.519844,0.00732611,0.0000445545,0.064449
2023-02,5.84705e-7,0.00131706,0.222483,0.0000177587,0.00000906414,0.522859,0.00733045,0.0000449625,0.064177
2023-03,6.14166e-7,0.00128984,0.220305,0.0000174995,0.00000893223,0.516203,0.00731279,0.0000436263,0.0638772
2023-04,6.37474e-7,0.00129508,0.217352,0.0000180924,0.00000923255,0.509688,0.00727604,0.0000450489,0.0626468
2023-05,6.49374e-7,0.00128377,0.216674,0.0000177524,0.00000905976,0.508473,0.00728322,0.000044234,0.0625169
2023-06,6.48769e-7,0.00128689,0.22023,0.0000171816,0.00000877065,0.518022,0.00738393,0.0000431403,0.0637741
2023-07,6.36699e-7,0.0012682,0.221942,0.0000162481,0.00000829688,0.520881,0.00738453,0.0000409855,0.0644896
2023-08,6.33212e-7,0.00126161,0.220498,0.0000162516,0.00000829841,0.518275,0.00736693,0.0000408703,0.0641694
2023-09,6.30473e-7,0.00127621,0.217787,0.0000171365,0.00000874713,0.512783,0.00733124,0.0000430333,0.0631928
2023-10,6.25539e-7,0.00127747,0.216728,0.0000176054,0.00000898511,0.508725,0.00727115,0.0000437705,0.0627498
2023-11,6.04028e-7,0.00128413,0.219323,0.000017477,0.00000892048,0.513333,0.0072591,0.0000435578,0.0634252
2023-12,5.86282e-7,0.00129094,0.224337,0.0000168631,0.00000860999,0.523401,0.00731063,0.0000423424,0.0651271
2024-01,5.94378e-7,0.00128674,0.222345,0.0000169267,0.00000864165,0.520813,0.00734481,0.0000425808,0.0647472
2024-02,6.16566e-7,0.00129735,0.222149,0.0000172788,0.00000882045,0.519214,0.00731011,0.0000435102,0.0641587
2024-03,6.5696e-7,0.00127335,0.217973,0.0000171852,0.00000877195,0.50866,0.00727813,0.0000429279,0.063108
2024-04,6.84312e-7,0.00127033,0.214603,0.0000177177,0.0000090417,0.500581,0.00723167,0.0000438958,0.0618743
2024-05,7.04665e-7,0.00125288,0.212084,0.0000173459,0.00000885223,0.49532,0.00724153,0.0000430838,0.0614288
