subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NU,2023,3.73252e-7,0.00109616,0.216759,0.00000233112,0.00000122141,0.58433,0.00848737,0.0000188008,0.0720889
CA-NU,2024,3.70613e-7,0.00109351,0.21675,0.00000219537,0.00000115241,0.584449,0.00848955,0.0000185571,0.0721172
CA-ON,2019,3.76063e-7,0.000152533,0.0499572,2.81105e-7,1.50087e-7,0.0614004,0.00941343,0.00000193465,0.0837529
CA-ON,2020,3.80804e-7,0.000149561,0.049884,2.10622e-7,1.14096e-7,0.0600328,0.00923426,0.00000181436,0.0820156
CA-ON,2021,3.86209e-7,0.000158951,0.0517609,3.26711e-7,1.73206e-7,0.068373,0.00926569,0.00000205299,0.0817763
CA-ON,2022,3.76671e-7,0.000182936,0.0567786,3.36088e-7,1.78776e-7,0.0804735,0.00879533,0.00000240024,0.0776568
CA-ON,2023,3.76467e-7,0.00019997,0.0591852,3.23894e-7,1.72977e-7,0.0913963,0.00894408,0.00000270197,0.0786406
CA-ON,2024,3.54811e-7,0.000222918,0.0648248,3.70314e-7,1.97177e-7,0.104966,0.00866538,0.00000312206,0.0764099
CA-PE,2019,6.7664e-7,0.0000637326,0.0762937,3.78582e-8,1.92897e-8,0.017906,0.00110263,2.02656e-7,0.0081563
CA-PE,2020,6.76786e-7,0.0000630426,0.076204,2.76511e-8,1.40771e-8,0.0175756,0.00109875,1.81794e-7,0.00811904
CA-PE,2021,6.7613e-7,0.000064423,0.0763385,4.69606e-8,2.39257e-8,0.0186334,0.00111788,2.20254e-7,0.00823618
CA-PE,2022,6.76871e-7,0.0000653148,0.0765146,3.69521e-8,1.88866e-8,0.018998,0.00112048,2.20469e-7,0.00827992
CA-PE,2023,6.76851e-7,0.0000647441,0.0763859,3.30119e-8,1.68482e-8,0.0188269,0.00112185,2.11582e-7,0.00826093
CA-PE,2024,6.74426e-7,0.0000622053,0.0760668,2.6113e-8,1.32523e-8,0.0175206,0.00110008,1.66489e-7,0.00810454
CA-QC,2019,9.66215e-8,0.000056286,0.0318576,3.16258e-8,1.76e-8,0.0165734,0.000921385,2.11026e-7,0.00268205
CA-QC,2020,9.6033e-8,0.0000566436,0.0318801,2.50861e-8,1.42912e-8,0.0167811,0.0009238,2.10537e-7,0.00270154
CA-QC,2021,9.36683e-8,0.0000551644,0.0314509,3.32567e-8,1.83819e-8,0.0163518,0.000923558,1.93453e-7,0.00262894
CA-QC,2022,9.51043e-8,0.0000554888,0.0316246,2.65662e-8,1.50033e-8,0.0164213,0.000922266,1.88452e-7,0.00264776
CA-QC,2023,9.43988e-8,0.0000551334,0.0314936,2.32057e-8,1.3271e-8,0.0163527,0.000924121,1.83214e-7,0.00263511
CA-QC,2024,1.017e-7,0.0000531966,0.031754,1.78349e-8,1.04526e-8,0.0152749,0.000911728,1.45293e-7,0.00257667
CA-SK,2019,3.55546e-7,0.00102969,0.204238,0.00000271327,0.00000141488,0.512876,0.00702742,0.0000182812,0.0634054
CA-SK,2020,3.42171e-7,0.000987129,0.197454,0.00000196139,0.00000103127,0.493108,0.00678759,0.0000168761,0.0610009
CA-SK,2021,3.4989e-7,0.000936682,0.18887,0.00000282701,0.000001468,0.495049,0.00729798,0.0000167442,0.0612997
CA-SK,2022,3.64145e-7,0.000934513,0.192002,0.00000219429,0.00000114752,0.485544,0.00693993,0.0000158217,0.0601819
CA-SK,2023,3.71007e-7,0.000895008,0.184199,0.00000187482,9.82579e-7,0.474219,0.00704518,0.000015178,0.0590531
CA-SK,2024,3.81685e-7,0.000901711,0.186659,0.00000179223,9.4086e-7,0.479113,0.00711195,0.0000151438,0.059767
CA-YT,2019,1.2721e-7,0.000281261,0.0694043,7.30567e-7,3.80862e-7,0.131237,0.00232384,0.00000446605,0.016439
CA-YT,2020,1.18918e-7,0.000255,0.064952,4.45788e-7,2.35209e-7,0.118456,0.00216733,0.00000377535,0.0148732
CA-YT,2021,9.84602e-8,0.000167899,0.0494394,3.87171e-7,2.02146e-7,0.077743,0.00173437,0.00000230913,0.00989311
CA-YT,2022,1.0621e-7,0.000176787,0.0513013,3.92571e-7,2.05374e-7,0.0811202,0.00175172,0.00000240347,0.0103085
CA-YT,2023,1.08516e-7,0.00018041,0.0519072,2.97941e-7,1.57215e-7,0.0847685,0.00183665,0.00000241812,0.0107898
CA-YT,2024,1.23005e-7,0.000235653,0.0622688,4.00229e-7,2.11061e-7,0.115223,0.00223514,0.00000338078,0.0145503
US-AK,2019,2.37134e-7,0.0012361,0.179213,2.50086e-9,2.08346e-8,0.450055,0.00632827,0.0000380715,0.0436065
US-AK,2020,2.33947e-7,0.00128504,0.181861,2.52412e-9,2.12083e-8,0.451424,0.00621458,0.0000402887,0.043195
US-AK,2021,2.38122e-7,0.00117703,0.177162,2.45382e-9,2.08488e-8,0.451453,0.00648297,0.0000350815,0.0444856
US-AK,2022,2.37201e-7,0.00111389,0.171836,2.38127e-9,2.00518e-8,0.44269,0.00650401,0.0000325538,0.0441331
US-AK,2023,2.44523e-7,0.00117802,0.179251,2.45074e-9,2.05465e-8,0.46931,0.00691804,0.000034821,0.0465716
US-AK,2024,2.37789e-7,0.00118104,0.172057,2.33545e-9,1.7825e-8,0.45624,0.00688865,0.0000367248,0.0444243
US-AL,2019,3.33939e-7,0.000528859,0.14567,2.1302e-9,2.64931e-8,0.369173,0.00987105,0.00000203914,0.0852845
US-AL,2020,3.23804e-7,0.000481373,0.132881,1.93156e-9,2.33009e-8,0.3403,0.00979236,0.00000206972,0.0832294
US-AL,2021,3.39568e-7,0.000525639,0.14472,2.12779e-9,2.66304e-8,0.362535,0.00994886,0.00000201507,0.0866716
US-AL,2022,3.49729e-7,0.000522268,0.145072,2.11079e-9,2.57643e-8,0.373867,0.00989303,0.00000194788,0.0839421
US-AL,2023,3.51914e-7,0.00045136,0.126846,1.83178e-9,2.11655e-8,0.333826,0.0100736,0.00000187173,0.0833694
US-AL,2024,3.2427e-7,0.00038483,0.109772,1.55342e-9,1.6603e-8,0.300065,0.0102218,0.00000184927,0.0823562
US-AR,2019,3.79034e-7,0.000803561,0.218267,3.27576e-9,4.54039e-8,0.520046,0.00944311,0.00000197302,0.090942
US-AR,2020,3.66187e-7,0.000661042,0.182811,2.73322e-9,3.6666e-8,0.438129,0.00967278,0.00000168754,0.0893181
US-AR,2021,3.95722e-7,0.000771202,0.213636,3.20774e-9,4.41362e-8,0.50837,0.00952516,0.00000146498,0.0906048
US-AR,2022,4.04261e-7,0.00071516,0.20041,2.98034e-9,3.97908e-8,0.490762,0.00964388,0.000001359,0.0877287
US-AR,2023,4.04788e-7,0.00065466,0.184962,2.746e-9,3.59924e-8,0.455556,0.00974196,0.00000125537,0.086962
US-AR,2024,3.91655e-7,0.000568747,0.160098,2.35648e-9,2.9575e-8,0.403634,0.00988117,0.00000159609,0.0851869
US-AZ,2019,5.61504e-7,0.000522331,0.156626,2.38256e-9,2.85101e-8,0.38909,0.0100211,3.11611e-7,0.0837826
US-AZ,2020,5.75752e-7,0.000406934,0.127125,1.91412e-9,2.00977e-8,0.334495,0.0100475,2.64787e-7,0.0782121
US-AZ,2021,6.25852e-7,0.000412421,0.128558,2.00942e-9,2.07194e-8,0.33124,0.0100105,2.53157e-7,0.0784166
US-AZ,2022,6.56843e-7,0.000404391,0.126291,1.99297e-9,2.03967e-8,0.322885,0.0101138,2.21231e-7,0.0793585
US-AZ,2023,6.39985e-7,0.000378185,0.12083,1.88442e-9,1.81978e-8,0.320195,0.00999913,1.06963e-7,0.0759442
US-AZ,2024,5.48149e-7,0.000381524,0.122164,1.8533e-9,1.92254e-8,0.31991,0.010387,4.43475e-9,0.0817937
US-CA,2019,0.00000174659,0.000911075,0.0754892,0.000128727,0.0000654509,0.228267,0.0067289,0.000132254,0.0409488
US-CA,2020,0.00000191472,0.000982753,0.0808591,0.000140103,0.0000712348,0.252864,0.00734718,0.000143554,0.0445423
US-CA,2021,0.00000199436,0.000957633,0.0833844,0.000134313,0.0000682912,0.258544,0.00762916,0.000137486,0.0455027
US-CA,2022,0.00000204093,0.000925669,0.081258,0.000130801,0.0000665057,0.247821,0.00759372,0.000133455,0.0449305
US-CA,2023,0.00000195174,0.000846063,0.0768748,0.000120477,0.0000612568,0.227221,0.00716464,0.000122403,0.0418306
US-CA,2024,0.0000016553,0.000889255,0.0848475,0.000124712,0.0000634101,0.280013,0.00769465,0.000126744,0.0463368
US-CO,2019,5.61857e-7,0.000908325,0.264661,5.0466e-9,5.44253e-8,0.594975,0.00715911,5.64241e-7,0.0728182
US-CO,2020,5.91763e-7,0.000761829,0.2297,4.79147e-9,4.45489e-8,0.516509,0.00676461,3.44893e-7,0.0638135
US-CO,2021,6.30217e-7,0.000841836,0.249248,5.24065e-9,5.04895e-8,0.541047,0.00657727,6.32895e-7,0.0670238
US-CO,2022,6.87274e-7,0.000777232,0.233539,5.14644e-9,4.60706e-8,0.504065,0.00642623,5.77843e-7,0.0629095
US-CO,2023,7.83165e-7,0.000713089,0.216757,4.84746e-9,4.13386e-8,0.473036,0.00652296,4.65205e-7,0.0594562
US-CO,2024,7.15404e-7,0.000724198,0.221069,4.97453e-9,4.23884e-8,0.481438,0.00645581,3.81239e-7,0.0602732
US-CT,2019,3.05984e-7,0.000327634,0.0811915,1.06558e-9,7.23269e-9,0.250797,0.0111007,0.00000533239,0.0839086
US-CT,2020,3.1191e-7,0.000339054,0.0841139,1.09084e-9,7.16275e-9,0.266016,0.0109375,0.00000545275,0.0809494
US-CT,2021,3.1729e-7,0.000333513,0.0848198,1.11186e-9,7.69131e-9,0.263849,0.0109711,0.000005015,0.0818987
US-CT,2022,3.31688e-7,0.000343835,0.0857727,1.11547e-9,7.19198e-9,0.268361,0.0109825,0.00000575741,0.0807195
US-CT,2023,3.32063e-7,0.000324806,0.08775,1.12654e-9,7.15973e-9,0.282778,0.010804,0.00000439567,0.0775135
US-CT,2024,3.05555e-7,0.000299959,0.0856164,1.09341e-9,7.02803e-9,0.276467,0.0108862,0.00000349061,0.0787678
US-DE,2019,3.09382e-7,0.000405676,0.124612,1.51468e-9,1.0414e-8,0.442277,0.00912968,0.00000190604,0.0520852
US-DE,2020,3.10567e-7,0.000395404,0.122795,1.48957e-9,1.01114e-8,0.438904,0.0091223,0.00000158251,0.0519683
US-DE,2021,3.39343e-7,0.00047524,0.138388,1.76148e-9,1.47757e-8,0.462918,0.00907119,0.00000244356,0.0551041
US-DE,2022,3.19065e-7,0.000501716,0.128653,1.56905e-9,1.0466e-8,0.447327,0.00906832,0.00000646293,0.0518052
US-DE,2023,4.21719e-7,0.000359007,0.113918,1.39215e-9,7.97415e-9,0.416917,0.00911932,0.00000125111,0.049943
US-DE,2024,4.53181e-7,0.000324035,0.114131,1.40203e-9,7.59206e-9,0.416996,0.00919865,1.3594e-9,0.0490532
US-FL,2019,3.69167e-7,0.000556721,0.139844,1.85406e-9,1.70478e-8,0.430526,0.00961603,0.00000638154,0.0660383
US-FL,2020,4.14869e-7,0.000520401,0.132276,1.74605e-9,1.48832e-8,0.415506,0.00962859,0.00000604686,0.0641329
US-FL,2021,4.72819e-7,0.000516956,0.133448,1.7956e-9,1.57101e-8,0.413363,0.0096279,0.00000540545,0.0646294
US-FL,2022,5.06138e-7,0.000486903,0.12787,1.71695e-9,1.41805e-8,0.402226,0.00964398,0.000004966,0.0633504
US-FL,2023,5.53965e-7,0.000458803,0.122412,1.64312e-9,1.25891e-8,0.391368,0.00964199,0.00000463065,0.0616351
US-FL,2024,4.93798e-7,0.000460523,0.119722,1.58801e-9,1.20967e-8,0.384015,0.00974358,0.00000524283,0.0634656
US-GA,2019,4.24531e-7,0.00062137,0.156086,2.29735e-9,2.81456e-8,0.405963,0.00996027,0.00000422578,0.0851111
US-GA,2020,4.81176e-7,0.000515222,0.124123,1.81371e-9,1.96061e-8,0.341196,0.00992964,0.00000475471,0.0796178
US-GA,2021,5.32683e-7,0.000564623,0.137914,2.05838e-9,2.36713e-8,0.363663,0.00997969,0.00000452872,0.0824778
US-GA,2022,6.09031e-7,0.000548094,0.131835,1.97826e-9,2.15728e-8,0.352227,0.0100369,0.00000500421,0.0805511
