country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
AT,2020,2.74962e-7,0.00029489,0.0614623,0.0000010005,5.13262e-7,0.112403,0.0027746,0.00000790981,0.0171028
AT,2021,3.04314e-7,0.000318183,0.0669612,0.00000208906,0.00000106765,0.129359,0.00324509,0.00000903001,0.0209848
AT,2022,3.47251e-7,0.000366846,0.0692985,0.00000219234,0.0000011207,0.137974,0.00339804,0.0000105896,0.0229126
AT,2023,4.09251e-7,0.000273513,0.0580359,9.73756e-7,4.98969e-7,0.0916868,0.00258357,0.00000761204,0.0147484
AT,2024,3.56706e-7,0.000227285,0.0557019,1.77071e-9,3.48746e-9,0.0884877,0.00243646,0.00000543231,0.0126768
AU,2019,8.66889e-7,0.00121042,0.337654,5.78531e-9,7.70437e-8,0.72582,0.00764779,1.68776e-7,0.0895004
AU,2020,9.74073e-7,0.00116973,0.32725,5.74585e-9,7.44366e-8,0.695778,0.00750053,1.23979e-7,0.0863887
AU,2021,0.00000110788,0.00112469,0.314868,5.70368e-9,7.13807e-8,0.658872,0.00730059,2.25728e-7,0.0825812
AU,2022,0.00000121,0.00105368,0.296659,5.51061e-9,6.64104e-8,0.617451,0.00720406,1.69697e-7,0.0780485
AU,2023,0.00000138717,0.00102741,0.288935,5.4879e-9,6.45949e-8,0.593228,0.00719817,1.64455e-7,0.0759197
AU,2024,0.00000159065,0.00103779,0.289546,5.49386e-9,6.48495e-8,0.591535,0.00745072,3.11559e-7,0.0763613
AW,2019,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AW,2020,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AW,2021,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AW,2022,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AW,2023,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AW,2024,3.54759e-7,0.00493279,0.383795,5.74148e-9,2.40855e-8,0.792392,0.00585102,0.000212598,0.0378167
AZ,2019,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13292e-9,0.405985,0.00867116,5.09293e-7,0.0469118
AZ,2020,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13292e-9,0.405985,0.00867116,5.09293e-7,0.0469118
AZ,2021,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13292e-9,0.405985,0.00867116,5.09293e-7,0.0469118
AZ,2022,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13292e-9,0.405985,0.00867116,5.09293e-7,0.0469118
AZ,2023,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13292e-9,0.405985,0.00867116,5.09293e-7,0.0469118
AZ,2024,2.41601e-7,0.000318201,0.110828,1.30094e-9,7.13293e-9,0.405985,0.00867116,5.09293e-7,0.0469118
BA,2019,3.53931e-7,0.00108478,0.302262,4.73333e-9,7.09035e-8,0.633597,0.00571749,1.57981e-8,0.0766079
BA,2020,3.97381e-7,0.0012442,0.344288,5.3893e-9,8.15536e-8,0.729062,0.00646458,1.80959e-8,0.0880805
BA,2021,3.71727e-7,0.00111888,0.311571,4.92026e-9,7.31837e-8,0.653902,0.00588342,1.62863e-8,0.0791044
BA,2022,4.2817e-7,0.0012171,0.337479,5.34913e-9,7.97078e-8,0.712054,0.00637919,1.76894e-8,0.0862112
BA,2023,4.09302e-7,0.00107897,0.300525,4.7271e-9,7.04342e-8,0.628791,0.00576147,1.569e-8,0.0762406
BA,2024,3.91975e-7,0.00105925,0.295581,4.66873e-9,6.91424e-8,0.61731,0.00565139,1.5411e-8,0.0748317
BB,2019,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BB,2020,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BB,2021,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BB,2022,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BB,2023,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BB,2024,4.35016e-7,0.00566099,0.42941,5.51985e-9,2.74022e-8,0.908352,0.0067684,0.000244043,0.0427395
BD,2019,2.91683e-7,0.00141286,0.200063,0.00000133026,6.94921e-7,0.555854,0.0085196,0.0000457558,0.0541523
BD,2020,2.99922e-7,0.00152091,0.215406,0.00000104972,5.55828e-7,0.581233,0.00848644,0.0000483949,0.0564549
BD,2021,3.11052e-7,0.00181061,0.231554,9.76156e-7,5.18991e-7,0.606274,0.0083761,0.0000618196,0.0558586
BD,2022,3.34387e-7,0.00217205,0.260262,0.00000106853,5.69929e-7,0.650024,0.00819373,0.0000766481,0.0573696
BD,2023,3.69486e-7,0.00159215,0.236807,0.00000113838,6.07522e-7,0.613249,0.00846263,0.0000475959,0.0610169
BD,2024,3.82667e-7,0.00107374,0.215487,0.00000148264,7.84374e-7,0.579601,0.00867083,0.0000218937,0.0642625
BE,2019,5.48157e-7,0.000715175,0.0954721,3.27649e-7,1.7429e-7,0.211857,0.0103588,0.0000249028,0.0832689
