subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NT,2019-03,3.0254689623170796e-7,0.0008399445612115146,0.17037462309772194,0.0000021457829863194066,0.000001119771715331734,0.4163192126028317,0.0058421552622786345,0.000014717065990776088,0.05155371862079221
CA-NU,2019-03,3.9677792915531327e-7,0.0012474704813805629,0.2416580781108084,0.000003246011889191644,0.0000016933734332425064,0.6242949137148047,0.008395421889191644,0.000022265806085376932,0.07687765667574932
CA-NL,2019-04,7.363279340303304e-8,0.00007937392710047719,0.033701619031214214,1.3745208395275713e-7,7.22865768081536e-8,0.02835735553740622,0.0010581871404471786,6.867881245165794e-7,0.0038526311957228425
CA-PE,2019-04,6.764832720391808e-7,0.00006300363891362423,0.07618594790115764,4.6193220748632494e-8,2.3498324058007884e-8,0.01751335448098206,0.0010972835123393971,1.9933480486770133e-7,0.008110392968451853
CA-NS,2019-04,3.9124026853099936e-7,0.0008862439962123753,0.18302310973290234,0.0000033087644155395695,0.0000017122026543890702,0.4368257608359001,0.006109962895910462,0.000016553881617621723,0.05472337463175871
CA-NB,2019-04,2.594784099895455e-7,0.0004667022555326738,0.10626729953754972,0.0000016598389407229926,8.59813648233145e-7,0.22402936860118516,0.004552480101513127,0.0000083032117758639,0.03862472091287079
CA-QC,2019-04,1.0356807083820421e-7,0.00005641485758725427,0.032380923099679756,4.552384890083298e-8,2.4646508910946822e-8,0.016574455522512146,0.0009232823401591067,2.2485703121062154e-7,0.0027451618013161604
CA-ON,2019-04,3.929810015209396e-7,0.00011908317908701823,0.04476746440342349,2.760917336096266e-7,1.4620150206549462e-7,0.04375858519122318,0.008852792797112211,0.0000013779266689668724,0.0781447553968021
CA-MB,2019-04,8.014728953957613e-8,0.000049775613576684866,0.029590306175765073,2.0334038526875266e-8,1.1675581805960785e-8,0.01329919771619579,0.0008769763952994578,9.988300452246343e-8,0.0021451739142685656
CA-SK,2019-04,3.464436853698406e-7,0.0009687267842506007,0.19247646460127799,0.000003636293510274909,0.0000018817758059658168,0.47889798844711967,0.0066089324231743745,0.000018196553236177905,0.059248958971085806
CA-AB,2019-04,4.1760856147462995e-7,0.0011594561855793526,0.22729938247773163,0.000004385768477153651,0.0000022693566145508583,0.5754324798717826,0.007804485893000921,0.00002194673286614052,0.07122196617939479
CA-BC,2019-04,1.33265102434699e-7,0.00023167756739371837,0.06184970545217034,7.360528423646112e-7,3.818303644456999e-7,0.10545783841757259,0.002011854865672218,0.0000036818049408478725,0.013450788324198321
CA-YT,2019-04,1.6770778536188664e-7,0.00042032750539441573,0.09378084230599078,0.0000014792666941919218,7.662581390230413e-7,0.20112535812144205,0.0031838165886148,0.0000074023630867286505,0.024998262415288693
